time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
120,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,4155.723784,1289.518654,1318.390798,308.9043893,34083.59378,374.0096359,136.8697676,250.0209516,0.174265886,13.72709589,45.26607499,6.76273046,NaN,NaN,,,,,
240,0,0.625,0,0,0,0,0,1,0,0,0,0,A431,2152.03945,1371.970181,1132.294402,115.8030447,57838.91647,431.0869319,158.417601,279.3249274,0.203092495,13.45532053,22.37332784,6.723499336,NaN,NaN,,,,,
0,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,5045.720346,1002.979601,462.3296838,158.3384151,25457.04215,1035.848971,178.0414352,409.8113365,0.108799251,5.293064083,6.830203031,6.728822783,NaN,NaN,,,,,
5,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,2250.742136,1358.174435,2694.811463,96.81756541,22552.07379,936.24351,138.9329174,269.1499661,1.196969717,10.41610033,7.869422067,8.409615471,NaN,NaN,,,,,
10,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,5518.094371,955.2310124,1912.387652,62.93282264,17835.90318,915.0779902,115.8763667,302.913492,0.573153043,10.71778274,14.89073491,6.20824688,NaN,NaN,,,,,
15,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,1672.591518,931.1030273,1778.329922,0,16213.83812,763.9288268,116.3635768,275.5150236,0.144724277,8.211275702,10.99176156,6.528036755,NaN,NaN,,,,,
30,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,1698.118603,1450.378219,2842.033969,0,22354.49019,1191.786695,160.0736535,334.2644581,0.305611302,12.62783499,21.15033584,7.542185347,NaN,NaN,,,,,
60,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,4819.987545,1660.408787,2581.764854,117.7399375,27311.51009,1040.091521,161.6556307,323.6365312,0.308289871,13.90000702,26.27265575,5.947290945,NaN,NaN,,,,,
120,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,4054.42986,1206.879341,2042.071173,225.2049086,32652.90186,377.7231981,101.5406826,236.722044,0.210049085,12.01080256,16.06050795,7.127561839,NaN,NaN,,,,,
240,0,2.5,0,0,0,0,0,1,0,0,0,0,A431,4048.987738,935.0218118,1542.716542,0,42959.57063,396.1727462,126.5895253,267.8019507,0.24127231,13.25662842,21.35072612,6.939881223,NaN,NaN,,,,,
