time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
240,0,0,0.15625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2126.774952,111.5598659,7.955262893,114.8426447,0.284393662,5.34668726,3.906417354,6.586538501,NaN,,,,,
0,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1962.621173,142.5904773,2.418735144,80.72643666,0.397262624,5.314365222,3.330978394,6.234718902,NaN,,,,,
5,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,218.2087711,1800.439716,133.3733253,3.240724089,84.78505204,0.527241636,6.321252737,3.212275735,8.17630019,NaN,,,,,
10,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,280.2660292,1571.859613,121.6499486,3.249866167,81.50494271,0.405248152,6.262972592,3.199696085,7.879501178,NaN,,,,,
15,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,934.8037063,0,0,379.5781627,1753.973433,138.3272186,8.836069926,96.7225482,0.337807924,5.387044288,4.271163357,6.701155727,NaN,,,,,
30,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,833.0856383,0,0,713.0602168,2024.599273,159.6703653,9.777862855,110.9812307,0.303023432,6.014037613,3.488984505,7.235946162,NaN,,,,,
60,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,0,152.1882824,112.0771625,556.9389327,2048.72424,166.1981531,11.54552533,112.3386344,0.300281804,6.39203698,4.059794074,8.09040305,NaN,,,,,
120,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2069.414732,84.37077883,4.556101093,81.17240786,0.316819958,5.862990125,3.860245933,7.338318759,NaN,,,,,
240,0,0,0.625,0,0,0,0,0,0,0,0,0,ACHN,493.3095089,0,171.4278604,419.6643575,2074.242343,112.6678023,17.88486034,113.3990429,0.309119237,5.492386253,5.944113486,6.871669948,NaN,,,,,
0,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1824.520758,121.1389144,1.367235948,69.5859414,0.326202991,5.797253732,3.664319191,7.391441029,NaN,,,,,
5,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,110.941507,0,433.5933269,1772.108788,119.8180674,7.04180484,64.20517085,0.594386181,5.988974313,2.827871707,7.700907855,NaN,,,,,
10,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,525.0076129,0,500.654686,1557.252024,117.2838441,9.37609197,84.96353404,0.404705247,6.084750437,3.280979062,7.909679384,NaN,,,,,
15,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,445.7247604,1857.432841,142.19657,9.310381274,99.24011054,0.36161945,6.00667834,4.229680646,7.919374061,NaN,,,,,
30,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,69.66028491,73.1176252,775.980518,2029.836292,163.2830835,10.83482751,114.0249352,0.314878926,5.867643846,3.555572732,6.90076218,NaN,,,,,
60,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,1608.0231,208.6477297,0,734.5515377,2160.945658,167.3056613,14.25647245,109.3017442,0.304901806,6.562799917,4.33889418,8.065845013,NaN,,,,,
120,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,186.9472115,0,483.0906606,1690.206528,90.77873042,9.491659224,92.66814777,0.307076562,5.808925975,4.102283081,7.084366672,NaN,,,,,
240,0,0,2.5,0,0,0,0,0,0,0,0,0,ACHN,0,255.3857017,0,616.2448804,2040.720749,113.0831539,12.27520917,113.419495,0.250680563,6.191494538,5.25203276,5.970931319,NaN,,,,,
0,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1635.762017,125.8099088,4.561575864,87.33956377,0.396557421,4.901804382,3.427943546,6.260344971,NaN,,,,,
5,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,421.4818916,0,64.30528184,674.9590508,1821.75729,126.0408634,10.29898427,81.13840904,0.561265727,6.783643195,3.151568232,7.746280142,NaN,,,,,
10,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,668.3317989,300.1657995,100.135055,619.3131376,1698.655725,123.688044,15.69816537,99.52931522,0.380115441,6.765993351,3.489509501,8.119878575,NaN,,,,,
15,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,690.2365755,0,0,540.7376295,1848.834376,135.7894869,11.5696554,94.69353672,0.324506953,5.767828988,4.27380994,7.016286295,NaN,,,,,
