time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
60,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,154.8685838,4.597856786,0,113.4261304,21.55984366,2.562592374,0.448878155,1.986159289,0.507419237,0.161876136,1.031020785,0.749754237,0.659905589,1.062596793,,,,,
90,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,142.1304695,4.522375119,0.120361944,212.1960255,22.71637598,2.573798304,0.500657023,1.999675477,0.467396169,0.150934319,1.046266681,0.750001603,0.63451234,1.029913573,,,,,
120,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,136.4587754,4.858440769,0.103173787,187.2532346,22.46884037,2.949129776,0.491433703,2.134573719,0.446502646,0.143509966,1.073255966,0.715623412,0.703168915,1.061800108,,,,,
240,2.5,0,0,0,0,1,0,0,0,0,0,0,BxPc3,110.331417,6.443841617,0,146.1319545,20.47387119,3.131183531,0.490655098,2.473008559,0.407225673,0.123303286,1.022677565,0.746171202,0.654740792,1.035586876,,,,,
0,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,2.297882823,1.852400781,NaN,NaN,26.5289695,2.765480179,1.080177329,2.015341711,0.213727412,0.180340119,0.644645475,0.455700493,0.517156313,0.950813108,,,,,
2,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,310.1751541,11.56833649,0,48.7222951,23.08420402,2.401075397,0.421416,1.891356721,0.725496921,0.501081871,0.679001387,0.786694558,0.579125682,1.316030282,,,,,
4,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,416.4109975,10.06038391,0.071503294,0,25.42146356,2.549201669,0.449347298,2.206885728,1.143012654,0.416775939,0.733574374,1.225648546,0.702902904,1.374156591,,,,,
6,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,296.4734504,6.719718285,0.262157667,240.6279733,24.9439446,2.467964014,0.49017045,2.237256871,1.164785235,0.237888407,0.829224305,1.303347194,0.732892888,1.342934888,,,,,
8,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,281.4714956,5.071188281,0.130546758,176.3830868,25.79179641,2.268567835,0.40995351,1.905342727,1.053189708,0.155157426,0.984713677,1.188527631,0.763683812,1.27710706,,,,,
10,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,346.2551904,7.204758656,0.13520378,237.8102121,32.97883602,2.686738331,0.493747842,2.260539173,1.057223545,0.148439762,1.050821555,1.148782701,0.747735886,1.295276382,,,,,
15,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,266.3769347,5.014810227,NaN,33.00352229,22.27108098,2.561436413,0.580688969,2.030633946,1.017990259,0.123096073,1.096568836,1.125224196,0.704633697,1.21623081,,,,,
30,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,195.8048054,4.585081539,0,35.00557409,21.80448154,2.291997218,0.486839228,1.725194157,0.662019439,0.11105202,1.118200705,0.782141609,0.577270031,1.083808083,,,,,
60,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,166.9511432,5.863952828,0,45.84346929,20.31757838,2.629674153,0.552047183,1.905657197,0.415941895,0.134035057,0.967548351,0.662239123,0.578652726,1.014200279,,,,,
90,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,138.3384428,5.063050286,0.135582788,170.740919,20.1380164,2.376834186,0.452434599,2.025618256,0.418411622,0.145648725,0.995435249,0.681480518,0.566269724,1.04484981,,,,,
120,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,121.844757,4.513967566,0.061814368,177.7151913,20.49774542,2.892022611,0.495017946,2.176578807,0.426681259,0.132352982,1.029676731,0.692020874,0.642190719,1.041206113,,,,,
240,10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,99.7675288,5.787984961,0.105343748,222.1520083,17.74689545,3.033205783,0.483170984,2.442394434,0.402181313,0.117679613,0.994982942,0.743039095,0.631014108,1.033316441,,,,,
0,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,1.633913247,3.078181906,0,0,29.20296743,2.887101614,0.563552853,2.16817235,0.229867611,0.177872261,0.661883286,0.466684535,0.521884579,0.925462681,,,,,
2,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,128.1854584,7.975270273,0.187009194,68.71677961,29.29909879,2.695835744,1.298602269,1.970852034,0.842396068,0.684980622,0.652047836,0.862170088,0.59821088,1.247508314,,,,,
4,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,156.9130358,7.850148224,0.329137054,0,30.11182919,2.604279912,0.449730731,2.23604092,1.231323281,0.727798939,0.755571079,1.295792133,0.75205646,1.378855369,,,,,
6,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,138.5483112,6.452010896,0.119765832,0,30.7654468,2.434640203,0.491992207,2.282994041,1.242980613,0.538366432,0.839599168,1.420196788,0.792153087,1.333413163,,,,,
8,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,137.5377923,4.569609797,0.017585539,0,30.58050311,2.517956227,0.38070506,1.925993101,1.122063669,0.37979218,1.010538689,1.336194395,0.827716844,1.311457185,,,,,
10,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,160.0457183,7.620468122,0.16555546,47.30091663,35.95423038,2.895131122,0.53592051,2.517412458,1.161759345,0.489513882,1.098014856,1.315710936,0.860033689,1.233100601,,,,,
15,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,132.9397643,4.770153513,0.013402154,0,27.18858785,2.851299339,0.450095763,2.279656687,1.126183518,0.444108779,1.054025098,1.386757004,0.831999054,1.320079554,,,,,
30,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,140.19921,3.344320025,0,32.74323519,25.84764534,2.748220372,0.472993883,2.143975037,0.902047582,0.385720976,1.191419525,1.022938235,0.926393174,1.212868894,,,,,
60,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,159.5689708,4.749668215,0,48.0577335,22.74574494,2.662887808,0.46069312,2.16957673,0.576721529,0.427390801,1.114436141,0.792558748,0.916217743,1.153083437,,,,,
90,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,218.9030493,6.147533198,0.059417642,51.29977237,24.08190022,2.697678882,0.538636125,2.195036337,0.490975729,0.33373835,1.114831968,0.761343697,0.887210661,1.114387743,,,,,
120,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,158.5345801,6.069004693,0,0,25.50701358,3.327682271,0.562285396,2.602955858,0.469147011,0.288286209,1.126232342,0.75271286,0.90356774,1.142439746,,,,,
240,2.5,2.5,0,0,0,1,0,0,0,0,0,0,BxPc3,131.0269515,6.836802151,0,55.99449408,22.51529281,3.570442758,0.550327558,2.776216608,0.418442029,0.22526703,1.101177243,0.781062877,0.793648169,1.032263175,,,,,
0,2.5,0,2.5,0,0,1,0,0,0,0,0,0,BxPc3,1.209246846,2.551398676,0,0,30.29737452,2.733997703,0.497639917,2.277795675,0.225779497,0.182517224,0.631672252,0.448337923,0.518165058,0.906100824,,,,,
2,2.5,0,2.5,0,0,1,0,0,0,0,0,0,BxPc3,131.4994264,7.957529539,0,948.1773398,26.27552288,2.555727719,0.474727295,2.000909345,0.888237613,0.758087107,0.653329365,0.889353419,0.606230036,1.336309349,,,,,
4,2.5,0,2.5,0,0,1,0,0,0,0,0,0,BxPc3,156.5366799,7.28711627,0,1322.517714,28.30285873,2.646486125,0.550656891,2.155420604,1.195141926,0.697330505,0.730610143,1.268194436,0.700758088,1.400043606,,,,,
6,2.5,0,2.5,0,0,1,0,0,0,0,0,0,BxPc3,132.8769841,6.016357037,0,1229.33951,27.04059117,2.445030235,0.503794155,2.122511466,1.207592934,0.545849839,0.837117343,1.403073005,0.769276378,1.348352913,,,,,
