time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,8302.976185,61961.83324,2037.429917,187.3494117,1375.047452,19515.9951,413.3460121,74.39241693,0.128323722,37.00543905,11.32533205,4.521835644,NaN,,,,,
5,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,4637.132507,35046.91197,4993.347566,141.242166,1017.269778,14436.73179,302.2950073,55.94130041,0.747166817,46.66797151,9.534540356,7.56313585,NaN,,,,,
10,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,4466.50033,29866.58434,7350.697954,212.0128999,1341.114695,16413.74222,366.780509,81.61649411,0.753159975,54.87910158,8.09780202,7.782498948,NaN,,,,,
15,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,6676.718497,40215.37973,9400.680711,362.5751173,1337.112759,16452.58386,399.7793128,76.10264605,0.484006439,120.3457356,12.58556148,6.436680088,NaN,,,,,
30,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,3929.304218,26906.39041,9586.089649,242.6895634,1211.543335,16125.6409,347.2785164,75.20328091,0.976613116,112.9772568,10.37068944,7.227682704,NaN,,,,,
60,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,6445.121871,33764.81408,9576.61039,367.2747867,901.835317,13943.33253,284.6455638,55.33587728,0.38871003,36.25013203,7.160944931,7.621830587,NaN,,,,,
120,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,2688.689963,28875.2513,10303.6115,42.53410111,960.2496467,15072.78258,246.1980979,52.53592387,0.417608009,46.36565823,8.185986107,8.378607944,NaN,,,,,
240,0,0.625,0,0,0,0,0,0,0,0,0,0,BT474M3,3287.043201,25205.69983,9467.694751,262.1042481,1215.792255,16696.06169,306.4215226,74.68776491,0.40618183,300.0549254,13.62296099,6.840333464,NaN,,,,,
0,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,6128.704712,54526.02654,1541.204495,201.7422839,1124.683233,14980.04583,338.8476953,75.05081087,0.148576733,21.8557698,7.846580844,6.514681251,NaN,,,,,
5,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,2850.50513,30374.47353,7700.715345,184.3066316,931.8108104,12724.57966,260.2046764,60.93259527,0.86524933,36.93544378,6.783290046,8.523973932,NaN,,,,,
10,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,3009.526446,26153.32323,9764.197619,139.6288134,1027.284789,13928.64225,283.1072021,68.66596967,0.740774303,36.58671791,6.856534645,7.931881681,NaN,,,,,
