time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pMet_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
4,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,27189.70525,134579.0818,125890.2667,,,,,
5,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,26784.37269,100600.8171,128162.8341,,,,,
7,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,26374.55841,94379.4224,137227.6559,,,,,
10,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,31936.64471,104392.9618,137324.8357,,,,,
20,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,41773.18914,118844.9038,153276.3258,,,,,
30,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,32730.88542,120065.0642,129485.1791,,,,,
60,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,30492.32322,113260.4755,118649.1783,,,,,
90,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,30155.35938,176011.1585,112994.3138,,,,,
120,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_200,,25835.68595,146281.9067,86605.68387,,,,,
2,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,15352.82332,62083.32637,65287.36482,,,,,
3,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,12576.23621,88333.77668,83696.74606,,,,,
4,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,16793.7418,144581.9457,125969.3751,,,,,
5,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,14157.50063,102656.4276,127087.9562,,,,,
7,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,15283.18328,105381.6238,140981.1538,,,,,
10,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,19984.04704,111527.8952,135272.8128,,,,,
20,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,24410.19025,113376.7189,154239.825,,,,,
30,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,24728.31545,86613.651,130268.5178,,,,,
60,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,23951.19261,107629.9848,149039.6953,,,,,
90,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,21825.39258,159916.5864,124999.6062,,,,,
120,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_200,,21048.74488,169689.7312,96438.17029,,,,,
2,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,14687.38396,56479.9196,59446.80777,,,,,
3,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,22290.23316,89437.1006,70206.28186,,,,,
4,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,8860.606407,97579.8723,83712.60461,,,,,
5,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,8778.407265,82235.34697,74857.44753,,,,,
7,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,7211.512604,84569.7044,97236.44553,,,,,
10,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,8969.246423,105700.107,109751.7932,,,,,
20,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,12596.74426,73870.56617,115744.1129,,,,,
30,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,12244.73006,74153.86005,100157.3695,,,,,
60,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,12720.84558,70176.67485,102152.2277,,,,,
90,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,13921.75437,114214.5413,89333.35476,,,,,
120,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_200,,14020.69897,112248.288,82301.74672,,,,,
2,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,3792.357037,43594.89128,20796.56698,,,,,
3,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,4100.144732,70299.04674,31815.67875,,,,,
4,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,3689.354488,65931.8135,26604.30052,,,,,
5,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,3524.468222,68709.39836,36603.11733,,,,,
7,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,3997.797105,65637.8442,45213.20446,,,,,
10,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,4084.657751,61058.48652,43773.7643,,,,,
20,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,4138.618194,52988.2681,52483.42838,,,,,
30,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,4226.043871,76501.26521,54798.22372,,,,,
60,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,5275.717028,64745.06319,53015.24307,,,,,
90,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,4920.402536,71163.16228,53113.71361,,,,,
120,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_200,,5966.955182,88125.60609,37840.45316,,,,,
2,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,65.64612476,4.934643359,1.188344048,3.3311,10.72007962
3,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
4,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
5,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
7,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
10,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
