time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
5,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,99.73900966,1828.474782,0,59.61334045,522.0883177,698.8548957,3.061780334,9.599106714,1.754952848,23.50216052,6.203661264,10.21365322,NaN,NaN,,,,,
10,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,2107.796723,93.38134226,178.0106483,508.0756411,885.3935627,5.317201263,13.46466967,1.347137555,25.50853291,10.71400732,9.326783263,NaN,NaN,,,,,
15,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,1787.586781,0,0,562.685673,858.3672405,4.88638677,14.02024846,1.189219918,33.26305515,18.16610589,9.38157711,NaN,NaN,,,,,
30,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,1223.97105,0,0,546.4433339,879.5471963,2.722169139,15.78799584,0.902398275,29.39477336,16.26608289,8.59138043,NaN,NaN,,,,,
60,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,876.0826487,247.0135788,513.1447596,402.1563333,630.354734,2.994055888,11.54441983,0.461863252,17.71470939,11.30331627,8.770873051,NaN,NaN,,,,,
120,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,353.2720636,0,110.0335999,505.9394497,521.5542475,2.521571315,11.33947136,0.246312143,19.25243471,23.81025762,8.134268184,NaN,NaN,,,,,
240,0,0.625,0,0,0,0,0,0,0,1,0,0,IGROV1,0,256.409306,78.14648802,0,563.3131225,532.1715094,0,8.563978308,0.28496557,12.652067,10.30492918,7.644379492,NaN,NaN,,,,,
0,0,2.5,0,0,0,0,0,0,0,1,0,0,IGROV1,1237.294161,1166.396152,0,180.687219,487.6547853,772.2777833,7.23968038,11.67639217,0.149320516,12.76529471,4.048671556,8.093722283,NaN,NaN,,,,,
5,0,2.5,0,0,0,0,0,0,0,1,0,0,IGROV1,2691.696862,3233.382608,99.43938231,80.91923239,602.0590859,878.844707,6.82356407,10.81521974,2.551565916,30.272978,8.772942211,10.31986455,NaN,NaN,,,,,
10,0,2.5,0,0,0,0,0,0,0,1,0,0,IGROV1,519.2398632,2772.596232,384.8986715,0,612.7553903,963.1103489,5.824263855,15.58029935,1.599748021,33.01617749,14.84195959,8.801081543,NaN,NaN,,,,,
