time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
4,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,150.1874699,10.10573743,2.123176439,426.8759685,16.96589259,8.175594997,0.696418212,12.06455452,1.198248229,0.728385307,0.616629971,0.47642802,0.621033274,0.92128044,,,,,
6,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,141.7815643,8.448345093,1.934348069,454.5988277,16.25583508,8.207451033,0.680377591,11.42686284,1.003764369,0.713217767,0.76366545,0.408883685,0.71865778,0.864654649,,,,,
8,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,142.3071989,7.960405073,2.123962885,416.6344291,17.57514446,8.797827552,0.739251126,12.0028993,0.656764666,0.659209364,0.859356119,0.322578243,0.739282388,0.844935159,,,,,
10,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,127.8149589,7.52247177,2.022958095,460.5755841,17.53892253,8.442209719,0.749938767,12.51408431,0.546049863,0.6391961,1.080654892,0.298231471,0.825000594,0.854423342,,,,,
15,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,95.08389358,6.682262187,1.988052057,438.6709499,14.8199936,7.147158422,0.621932119,9.250896208,0.516109861,0.604301622,1.083996177,0.288047026,0.850180602,0.818855672,,,,,
30,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,65.68069989,6.370363139,1.872110719,436.9940436,14.51745516,7.23421452,0.716807405,9.914653286,0.51704082,0.704241365,1.217199317,0.272415845,0.959067146,0.836493605,,,,,
60,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,46.67503303,5.378678321,1.798393872,354.2921996,10.22082854,6.883553461,0.63118242,9.315377271,0.431685762,0.731131176,1.213561686,0.264097532,0.943343754,0.856202178,,,,,
90,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,43.52882165,5.065532046,1.990990984,404.1103675,10.21961084,7.473834363,0.719824229,10.59206455,0.382990305,0.723978936,1.238074649,0.267108926,1.007411615,0.864511296,,,,,
120,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,30.01050248,4.874833004,1.768119726,324.4853046,7.492577429,7.762873154,0.756675408,10.78361424,0.347818976,0.731862965,1.18396595,0.25650531,1.000022695,0.853230299,,,,,
240,2.5,2.5,0,0,0,0,0,0,0,0,0,0,H322M,22.05016701,6.611433307,1.98602831,396.9060214,4.973164304,8.868872187,0.87045016,11.86956901,0.291949873,0.639037577,1.144524342,0.223462268,0.962398896,0.827188797,,,,,
0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,4.766956862,1.109923316,0.407097279,227.5645675,16.49848307,8.456524941,0.771658884,10.92444667,0.123636885,0.196404537,0.393631647,0.164820937,0.4038156,0.620375462,,,,,
2,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,153.5851513,13.62777939,0.47079557,12553.14825,16.4398227,7.611018679,0.740239679,10.09350448,1.41631721,0.628702937,0.566653201,0.504935471,0.539749158,0.903480319,,,,,
4,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,153.2386602,8.848285068,0.240993503,14624.147,16.80433647,8.532847722,0.831619881,11.08804032,1.19327266,0.626271958,0.599020819,0.478219452,0.602501759,0.906447428,,,,,
6,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,149.6361562,6.699708939,0.334647717,15799.27955,16.482056,8.477543293,0.863266348,9.986199108,0.990299392,0.574636001,0.785277596,0.39575178,0.71466757,0.854254589,,,,,
8,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,144.7204938,6.346824211,0.278036525,16650.69878,16.96823475,8.947091284,1.000794916,11.37764923,0.660944098,0.51987769,0.874542149,0.313496028,0.740244123,0.831022462,,,,,
10,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,135.7180043,6.869189677,0.355400437,15770.1941,17.63110576,8.956080241,0.964075075,11.52744272,0.524278711,0.519502916,1.058422118,0.286706522,0.814494097,0.836306052,,,,,
15,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,92.94170614,4.921182989,0.353614911,12076.56471,14.11854369,6.876281785,0.770115443,8.238059935,0.482196053,0.426786043,1.081260044,0.276463861,0.797821322,0.81192592,,,,,
30,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,62.94633837,4.934856607,0.386541428,11980.22291,13.50595008,7.17411242,0.844093426,8.300127506,0.500584323,0.510101145,1.21608378,0.268285511,0.900792223,0.788863565,,,,,
60,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,49.06921588,3.836889534,0.255661008,13574.12282,10.16688199,7.123022041,0.838364502,8.474769823,0.428341229,0.483597888,1.182989556,0.257817056,0.874734031,0.82308738,,,,,
90,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,45.49081274,3.804687446,0.211904125,14395.22355,9.080180198,8.02516946,0.912352147,9.451411326,0.400949978,0.50080861,1.260174011,0.266461166,0.941632028,0.807772007,,,,,
120,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,35.56094071,3.270236705,0.242873586,13784.16853,7.610506835,8.270546821,0.914739959,9.397915183,0.342938667,0.455348297,1.177478962,0.249977069,0.897259095,0.790244322,,,,,
240,2.5,0,2.5,0,0,0,0,0,0,0,0,0,H322M,27.7836253,6.101455887,0.474260829,14986.97613,5.349501065,9.591310604,0.976702045,10.50418097,0.330422315,0.434992103,1.136258907,0.235396748,0.849545348,0.773680535,,,,,
0,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,5.073944993,1.128391959,0.263277477,182.300446,13.98345075,7.71298342,0.693915682,9.584575536,0.113903078,0.18687062,0.395088398,0.166435253,0.394383316,0.657248041,,,,,
2,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,6.426208995,2.885842991,1.03394355,403.3862138,13.96811824,7.19945291,0.698800966,9.781663253,0.261064671,0.299406293,0.518121522,0.214886545,0.486693582,0.773269415,,,,,
4,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,7.949140234,4.180073342,1.369299835,495.8355027,13.22134436,7.577919577,0.900598619,10.87741307,0.452041344,0.536399019,0.386898182,0.242308395,0.487866865,0.798507994,,,,,
6,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,6.081950147,3.298707611,1.276096213,597.8077125,14.7297464,7.971062446,0.742159065,9.958427943,0.49650297,0.589470613,0.506067908,0.240191063,0.590238343,0.799788863,,,,,
8,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,5.071394578,3.262506725,1.468016599,566.2893041,15.2386442,8.143536104,0.832790082,11.49270485,0.349867057,0.620573402,0.511457626,0.220660612,0.612349294,0.836240503,,,,,
10,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,4.740233499,3.067467666,1.466791447,464.7886191,15.9569427,8.231668176,0.859249711,11.50578663,0.228407028,0.591697994,0.728629579,0.201744278,0.693918679,0.833032666,,,,,
15,0,0.15625,0,0,0,0,0,0,0,0,0,0,H322M,3.704412708,2.253999214,1.365879867,420.8896848,12.53315284,6.474548132,0.549597646,8.167031785,0.211523399,0.558971175,0.844919973,0.199092701,0.764841384,0.806671185,,,,,
