#t G_p G_t I_l I_p Q_sto1 Q_sto2 Q_gut I_1 I_d X I_po Y aa cc EGP V_mmax U_idm E S I G HE m_3 Q_sto Ra k_empt U_id U S_po Compartment1 V_G k_1 k_2 G_b V_I m_1 m_2 m_4 m_5 m_6 HE_b I_b S_b S_b_minus k_max k_min k_abs k_gri f b d BW k_p1 k_p2 k_p3 k_p4 k_i U_ii V_m0 V_mX K_m0 p_2U part K alpha beta gamma k_e1 k_e2 D 
##CONCENTRATIONS
24 248.428966324525 160.286080065352 35.19291921887 9.4931837244 20440.31062136979381 37524.58392671917682 10599.37044811388841 36.54403383050 25.53751999319 41.93865641779 15.07146913742 1.3722774381 0.0001780627 0.0032051282 1.0170446981 3.5768934813 1.4857781152 0.000000 7.5357345687 189.863674488330 132.143067193896 0.4180136691 0.1364681487 57964.89454808896699 6.9711244101 0.0130543912 1.4857781152 2.4857781152 7.4577238377 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
25 251.857825183475 162.281444113969 35.76223310713 9.7201540021 19330.98023431250476 38153.78203817277972 10478.73760032854625 37.76889310078 25.62894017577 46.01730102083 14.99140256882 1.5095786374 0.0001780627 0.0032051282 1.0139694268 3.7302505184 1.5606986547 0.000000 7.4957012844 194.403080042475 133.966928289082 0.4192306810 0.1371522682 57484.76227248528448 6.8917851141 0.0123319975 1.5606986547 2.5606986547 7.4143812834 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
26 255.139891080000 164.262409507783 36.20131465062 9.9036927575 18281.85540724259772 38740.50522529350565 10347.56189076663213 39.01631824945 25.72937367051 50.09632937423 14.91091317139 1.6497551126 0.0001780627 0.0032051282 1.0111474317 3.8836219845 1.6363451635 0.000000 7.4554565857 198.073855149868 135.712708021277 0.4204541198 0.1378428965 57022.36063253610337 6.8055118589 0.0117255379 1.6363451635 2.6363451635 7.3760223783 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
27 258.277587856153 166.220416780560 36.53077582580 10.04877888489 17289.66951573663027 39285.09589778826921 10209.26588665052259 40.27958918281 25.83890277904 54.14863237268 14.83460041245 1.7922471907 0.0001780627 0.0032051282 1.0082886350 4.0359885772 1.7122150782 0.000000 7.4173002062 200.975577697829 137.381695668167 0.4216140737 0.1385003859 56574.76541352490312 6.7145556408 0.0112135034 1.7122150782 2.7122150782 7.3434664348 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
28 261.274006901633 168.148454772419 36.76981506328 10.16079681992 16351.33127181059899 39788.66415942242020 10066.15821924438205 41.55307057727 25.95755342737 58.15234278986 14.76514715868 1.9365406108 0.0001780627 0.0032051282 1.0052205103 4.1865280889 1.7878828458 0.000000 7.3825735793 203.215936398488 138.975535585975 0.4226697632 0.1391010723 56139.99543123302283 6.6204348288 0.0107793560 1.7878828458 2.7878828458 7.3169222492 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
29 264.132825683095 170.040450535548 36.93617574198 10.24492932463 15463.91827695896973 40252.18769594388868 9920.4006985059386 42.83189012071 26.08531440277 62.08922296345 14.70468574821 2.0821493476 0.0001780627 0.0032051282 1.0018036572 4.3345547834 1.8629750244 0.000000 7.3523428741 204.898586492585 140.496183873987 0.4235887766 0.1396257816 55716.10597290285659 6.5245712286 0.0104095546 1.8629750244 2.8629750244 7.2965933158 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
30 266.858218277433 171.891438674015 37.04667817805 10.30627644911 14624.66674346665968 40676.88745251112414 9773.6339124690730 44.11203579646 26.22213814078 65.94505099251 14.65440533510 2.2286241021 0.0001780627 0.0032051282 0.9979562486 4.4795339173 1.9371810976 0.000000 7.3272026676 206.125528982159 141.945860785868 0.4243530389 0.1400634119 55301.55419597778382 6.4280438424 0.0100933221 1.9371810976 2.9371810976 7.2824384553 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
31 269.454432143256 173.697329149639 37.11580931707 10.34931963129 13830.96195296471160 41063.88113478129526 9627.3948167179478 45.39037370265 26.36795056138 69.70954794273 14.61528217496 2.3755492393 0.0001780627 0.0032051282 0.9936096990 4.6210790026 2.0102543255 0.000000 7.3076410875 206.986392625859 143.326825608115 0.4249477109 0.1404047364 54894.84308774600504 6.3318635141 0.0098218177 2.0102543255 3.0102543255 7.2744617347 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
32 271.926303379240 175.454803408342 37.15708656016 10.37849607869 13080.33293954027613 41414.54209777175856 9482.7101646133324 46.66432701319 26.52265614929 73.37497658351 14.58760603085 2.5225396706 0.0001780627 0.0032051282 0.9887368049 4.7588991195 2.0819910952 0.000000 7.2938030154 207.569921573897 144.641650733638 0.4253683883 0.1406466198 54494.87503731203469 6.2367055313 0.0095879895 2.0819910952 3.0819910952 7.2723656267 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
33 274.278577343627 177.161212663121 37.18163164960 10.39748059572 12370.44134486736948 41730.12563506985316 9340.5608715811068 47.93206412610 26.68614528536 76.93680847144 14.57170105166 2.6692424784 0.0001780627 0.0032051282 0.9833085550 4.8928239985 2.1522433842 0.000000 7.2858505258 207.949611914320 145.892860289163 0.4256101440 0.1407857860 54100.56697993722628 6.1432150348 0.0093859800 2.1522433842 3.1522433842 7.2759176298 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
34 276.516142891191 178.814591576931 37.19883854883 10.40979072205 11699.07690590767015 42012.16361258762481 9201.4559591347625 49.19227125099 26.85829418653 80.39278898675 14.56712798374 2.8153367507 0.0001780627 0.0032051282 0.9773429429 5.0227688659 2.2209054547 0.000000 7.2835639919 208.195814440903 147.083054729357 0.4256796546 0.1408258214 53711.24051849529496 6.0517268039 0.0092110884 2.2209054547 3.2209054547 7.2846497000 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
35 278.643769951913 180.413472748395 37.21632369946 10.41830483755 11064.14864964398112 42262.11844850181660 9065.8320563557318 50.44416120336 27.03897342434 83.74284701474 14.57342523993 2.9605305404 0.0001780627 0.0032051282 0.9708596425 5.1487310478 2.2879125695 0.000000 7.2867126200 208.366096751068 148.214771251017 0.4255839364 0.1407706940 53326.26709814579954 5.9625280063 0.0090593674 2.2879125695 3.2879125695 7.2981241482 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
36 280.666008890252 181.956890716077 37.23999015484 10.42545512737 10463.67896345555891 42481.51314814837679 8933.9329149915357 51.68739503754 27.22804854708 86.98876544132 14.58975122876 3.1045613987 0.0001780627 0.0032051282 0.9639023185 5.2707775806 2.3532367000 0.000000 7.2948756144 208.509102547415 149.290430260772 0.4253357813 0.1406278585 52945.19211160393752 5.8757789556 0.0089275375 2.3532367000 3.3532367000 7.3158729117 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
37 282.587450669209 183.444229584960 37.27515749274 10.43328725653 9895.8005151701655 42671.71481654355739 8806.0219427889606 52.92195854661 27.42538248224 90.13364036150 14.61546730872 3.2471890014 0.0001780627 0.0032051282 0.9565020316 5.3890248776 2.4168772327 0.000000 7.3077336544 208.665745130564 150.312473760217 0.4249448969 0.1404031196 52567.51533171372284 5.7916528931 0.0088127942 2.4168772327 3.4168772327 7.3374810053 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
38 284.412149487629 184.875207786433 37.32502193421 10.44325632802 9358.7426972025896 42834.16940887558303 8682.2041561114129 54.14817446547 27.63084428408 93.18179655403 14.64959245222 3.3882025416 0.0001780627 0.0032051282 0.9487120740 5.5036355504 2.4788599537 0.000000 7.3247962261 208.865126560397 151.283058238100 0.4244261947 0.1401053631 52192.91210607817629 5.7102188873 0.0087127981 2.4788599537 3.4788599537 7.3625377103 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
39 286.144099289525 186.249795266436 37.39216692932 10.45653383665 8850.8326847301414 42970.23785247879277 8562.5577266675191 55.36657514082 27.84430548482 96.13832541113 14.69124925455 3.5274118275 0.0001780627 0.0032051282 0.9405794382 5.6148010355 2.5392289801 0.000000 7.3456246273 209.130676733086 152.204308132726 0.4237930113 0.1397426163 51821.07053720893600 5.6315283510 0.0086255475 2.5392289801 3.5392289801 7.3906527165 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
