time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
180,4,31.5,1,0,0,10,685,453,420,NaN,Anja_2016_37
180,5,25.4,1,0,0,10,677,453,428,NaN,Anja_2016_37
240,4,12.8,1,0,0,10,94.6,361,357,NaN,Anja_2016_37
240,5,9.03,1,0,0,10,86.3,336,341,NaN,Anja_2016_37
360,4,7.6,1,0,0,10,55.1,485,497,NaN,Anja_2016_37
360,5,9.45,1,0,0,10,55.3,475,504,NaN,Anja_2016_37
45,4,776,1,0,500,10,233,444,423,NaN,Anja_2016_37
45,5,963,1,0,500,10,228,420,398,NaN,Anja_2016_37
50,4,665,1,0,500,10,423,540,507,NaN,Anja_2016_37
50,5,432,1,0,500,10,387,505,509,NaN,Anja_2016_37
60,4,583,1,0,500,10,625,467,463,NaN,Anja_2016_37
60,5,372,1,0,500,10,656,476,466,NaN,Anja_2016_37
70,4,342,1,0,500,10,699,484,482,NaN,Anja_2016_37
70,5,459,1,0,500,10,706,477,479,NaN,Anja_2016_37
90,4,130,1,0,500,10,493,389,363,NaN,Anja_2016_37
90,5,117,1,0,500,10,489,378,367,NaN,Anja_2016_37
120,4,34.3,1,0,500,10,572,354,348,NaN,Anja_2016_37
120,5,46.5,1,0,500,10,514,352,343,NaN,Anja_2016_37
150,4,34.2,1,0,500,10,487,297,285,NaN,Anja_2016_37
150,5,44,1,0,500,10,496,290,286,NaN,Anja_2016_37
180,4,16.8,1,0,500,10,153,359,369,NaN,Anja_2016_37
180,5,14.6,1,0,500,10,140,347,351,NaN,Anja_2016_37
240,4,16.9,1,0,500,10,696,419,419,NaN,Anja_2016_37
240,5,14.4,1,0,500,10,654,405,392,NaN,Anja_2016_37
360,4,9.49,1,0,500,10,609,414,398,NaN,Anja_2016_37
360,5,7.86,1,0,500,10,579,414,396,NaN,Anja_2016_37
40,7,733,0,0,0,10,206,1150,NaN,NaN,Anja_2016_38
40,8,726,0,0,0,10,212,1140,NaN,NaN,Anja_2016_38
45,7,888,0,0,0,10,268,1200,NaN,NaN,Anja_2016_38
45,8,825,0,0,0,10,256,1170,NaN,NaN,Anja_2016_38
50,7,855,0,0,0,10,332,1080,NaN,NaN,Anja_2016_38
50,8,974,0,0,0,10,327,1100,NaN,NaN,Anja_2016_38
60,7,773,0,0,0,10,377,1190,NaN,NaN,Anja_2016_38
60,8,816,0,0,0,10,386,1180,NaN,NaN,Anja_2016_38
70,7,316,0,0,0,10,258,838,NaN,NaN,Anja_2016_38
70,8,264,0,0,0,10,284,787,NaN,NaN,Anja_2016_38
90,7,117,0,0,0,10,387,1020,NaN,NaN,Anja_2016_38
90,8,111,0,0,0,10,387,1070,NaN,NaN,Anja_2016_38
120,7,29.2,0,0,0,10,431,1080,NaN,NaN,Anja_2016_38
120,8,32.8,0,0,0,10,393,1020,NaN,NaN,Anja_2016_38
150,7,20.4,0,0,0,10,239,1060,NaN,NaN,Anja_2016_38
150,8,23.9,0,0,0,10,221,1020,NaN,NaN,Anja_2016_38
240,7,30.9,0,0,0,10,110,1130,NaN,NaN,Anja_2016_38
240,8,38.7,0,0,0,10,105,1010,NaN,NaN,Anja_2016_38
360,7,38.5,0,0,0,10,40.3,1250,NaN,NaN,Anja_2016_38
360,8,32.1,0,0,0,10,38.9,1230,NaN,NaN,Anja_2016_38
40,7,706,0,0,500,10,503,1400,NaN,NaN,Anja_2016_38
40,8,735,0,0,500,10,508,1330,NaN,NaN,Anja_2016_38
45,7,944,0,0,500,10,676,1360,NaN,NaN,Anja_2016_38
45,8,991,0,0,500,10,715,1380,NaN,NaN,Anja_2016_38
50,7,934,0,0,500,10,919,1310,NaN,NaN,Anja_2016_38
50,8,943,0,0,500,10,954,1300,NaN,NaN,Anja_2016_38
60,7,1500,0,0,500,10,1290,1230,NaN,NaN,Anja_2016_38
60,8,1360,0,0,500,10,1240,1210,NaN,NaN,Anja_2016_38
70,7,2310,0,0,500,10,1490,1260,NaN,NaN,Anja_2016_38
70,8,2550,0,0,500,10,1460,1200,NaN,NaN,Anja_2016_38
90,7,1020,0,0,500,10,2520,1490,NaN,NaN,Anja_2016_38
90,8,851,0,0,500,10,2450,1450,NaN,NaN,Anja_2016_38
120,7,477,0,0,500,10,2650,881,NaN,NaN,Anja_2016_38
120,8,517,0,0,500,10,2430,827,NaN,NaN,Anja_2016_38
