#t E1 E2 KKK P_KKK KK P_KK PP_KK K P_K PP_K KPase KKPase E1_KKK E2_P_KKK P_KKK_KK P_KKK_P_KK PP_KK_K PP_KK_P_K KKPase_PP_KK KKPase_P_KK KPase_PP_K KPase_P_K K_PP_norm rel_K_PP_max KK_PP_norm KKK_P_norm r1a r1b r2a r2b r3a r3b r4a r4b r5a r5b r6a r6b r7a r7b r8a r8b r9a r9b r10a r10b compartment K_PP_norm_max 
##CONCENTRATIONS
20 0.0000297603 0.0002998732 0.0024164255 0.0001268802 0.7795425762 0.2995075626 0.0355749977 0.3714005669 0.3435777758 0.3177166900 0.0374552902 0.0001417217 0.000000239717 0.000000126809 0.0003296898 0.0001266380 0.0440610860 0.0406991714 0.0000167913 0.0001414871 0.0396235422 0.0429211676 0.2977835269 0.3308525723 0.1002933720 0.1944264112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
21 0.0000297619 0.0002998680 0.0024000025 0.0001320685 0.7512370008 0.3109270782 0.0481861844 0.2277110523 0.3265321664 0.4695855878 0.0328475392 0.0001365550 0.000000238101 0.000000131993 0.0003307142 0.0001368447 0.0366039866 0.0524147460 0.0000219145 0.0001415305 0.0513793527 0.0357731081 0.4341374504 0.4823486837 0.1143556930 0.1999004621 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
22 0.0000297634 0.0002998628 0.0023845901 0.0001372317 0.7228017499 0.3217899705 0.0640337613 0.1386410645 0.2865140636 0.5945939010 0.0304769802 0.0001312373 0.000000236583 0.000000137152 0.0003306397 0.0001471647 0.0296025285 0.0611254225 0.0000279905 0.0001407722 0.0603867427 0.0291362771 0.5458172031 0.6064305422 0.1289914191 0.2050375879 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
23 0.0000297648 0.0002998577 0.0023701700 0.0001423741 0.6943125046 0.3320839514 0.0814807353 0.0898328276 0.2469221166 0.6810993732 0.0293161819 0.0001261343 0.000000235164 0.000000142290 0.0003295126 0.0001575658 0.0244137361 0.0670481285 0.0000342376 0.0001396281 0.0665399630 0.0241438552 0.6230327801 0.6922209570 0.1441473645 0.2098439064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
24 0.0000297662 0.0002998526 0.0023567253 0.0001475067 0.6658761853 0.3416968771 0.0999181707 0.0618917685 0.2139029968 0.7410568738 0.0286863819 0.0001213626 0.000000233840 0.000000147417 0.0003274126 0.0001679740 0.0206298995 0.0712048433 0.0000404014 0.0001382359 0.0708488543 0.0204647637 0.6765881068 0.7517236359 0.1598277625 0.2143250372 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
25 0.0000297674 0.0002998475 0.0023442412 0.0001526416 0.6375987049 0.3505096041 0.1191404353 0.0447345681 0.1870999672 0.7844129588 0.0283129592 0.0001169414 0.000000232610 0.000000152547 0.0003244250 0.0001783070 0.0177749158 0.0742905494 0.0000464225 0.0001366361 0.0740206195 0.0176664213 0.7153613152 0.7948026332 0.1760436024 0.2184859339 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
26 0.0000297685 0.0002998423 0.0023327047 0.0001577902 0.6095765879 0.3584218456 0.1391008224 0.0335261989 0.1653303279 0.8170127485 0.0280737578 0.0001128543 0.000000231474 0.000000157690 0.0003206313 0.0001884846 0.0155521169 0.0766523656 0.0000523079 0.0001348378 0.0764482893 0.0154779529 0.7445508648 0.8272337004 0.1927980107 0.2223308922 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
27 0.0000297696 0.0002998371 0.0023221047 0.0001629626 0.5818961435 0.3653562095 0.1597409752 0.0258696191 0.1474759761 0.8422658572 0.0279126672 0.0001090825 0.000000230430 0.000000162857 0.0003161073 0.0001984320 0.0137799068 0.0785213081 0.0000580641 0.0001328534 0.0783605818 0.0137267510 0.7671886992 0.8523854803 0.2100835452 0.2258636092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
28 0.0000297705 0.0002998319 0.0023124318 0.0001681676 0.5546343131 0.3712572032 0.1810265274 0.0204387750 0.1326356617 0.8623564921 0.0277994847 0.0001056028 0.000000229477 0.000000168056 0.0003109233 0.0002080798 0.0123347190 0.0800338368 0.0000637039 0.0001306934 0.0799055388 0.0122949765 0.7852183591 0.8724173452 0.2278823226 0.2290872615 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
29 0.0000297714 0.0002998267 0.0023036776 0.0001734120 0.5278596961 0.3760892905 0.2029117683 0.0164616935 0.1201769137 0.8786594381 0.0277171744 0.0001023925 0.000000228615 0.000000173294 0.0003051442 0.0002173644 0.0111364364 0.0812826926 0.0000692372 0.0001283704 0.0811759228 0.0111069028 0.7998628008 0.8886880612 0.2461667788 0.2320045926 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
