timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
480,B10,synT5,sfp,0.011860003,0.009529999,-0.002160007,-0.154066009,0.004285235,0.0214838,1,T5
485,B10,synT5,sfp,0.013110003,0.01058,-0.002454711,-0.157709991,0.004097062,0.023850852,1,T5
490,B10,synT5,sfp,0.013470002,0.010849999,-0.00249192,-0.156116514,0.004073303,0.024459521,1,T5
495,B10,synT5,sfp,0.01379,0.01134,-0.002892785,-0.173399404,0.003817344,0.025564148,1,T5
500,B10,synT5,sfp,0.014040003,0.011350001,-0.002657494,-0.159155229,0.003967581,0.025586692,1,T5
505,B10,synT5,sfp,0.014519998,0.011809999,-0.002854223,-0.164279204,0.003841966,0.026623681,1,T5
510,B10,synT5,sfp,0.015890003,0.012189998,-0.002043253,-0.113936511,0.004359785,0.027480328,1,T5
515,B10,synT5,sfp,0.016480002,0.01275,-0.002277098,-0.121399253,0.004210471,0.028742759,1,T5
520,B10,synT5,sfp,0.016960003,0.013020003,-0.002194309,-0.114559539,0.004263333,0.029351435,1,T5
525,B10,synT5,sfp,0.017930002,0.01399,-0.002651316,-0.128821494,0.003971526,0.031538132,1,T5
530,B10,synT5,sfp,0.019370002,0.014869999,-0.002505924,-0.114551663,0.004064362,0.033521944,1,T5
535,B10,synT5,sfp,0.019730002,0.015520001,-0.003102171,-0.135868401,0.003683647,0.034987266,1,T5
540,B10,synT5,sfp,0.020009997,0.016440001,-0.004175628,-0.172649177,0.002998225,0.037061253,1,T5
545,B10,synT5,sfp,0.021790002,0.01669,-0.002763408,-0.112546821,0.003899953,0.037624834,1,T5
550,B10,synT5,sfp,0.02261,0.017840001,-0.003635229,-0.138510086,0.00334328,0.04021732,1,T5
555,B10,synT5,sfp,0.02364,0.019050002,-0.004385316,-0.156476941,0.002864336,0.042945067,1,T5
560,B10,synT5,sfp,0.025289997,0.019309997,-0.003117809,-0.109751839,0.003673662,0.043531182,1,T5
565,B10,synT5,sfp,0.026140001,0.020369998,-0.00382722,-0.127713547,0.00322069,0.045920778,1,T5
570,B10,synT5,sfp,0.027900004,0.021480002,-0.003700194,-0.117094006,0.003301799,0.048423097,1,T5
575,B10,synT5,sfp,0.028900002,0.022499997,-0.004200757,-0.126908176,0.00298218,0.050722508,1,T5
580,B10,synT5,sfp,0.030790003,0.023809999,-0.004237959,-0.120987891,0.002958426,0.05367569,1,T5
585,B10,synT5,sfp,0.03254,0.024470004,-0.003458924,-0.096084092,0.003455854,0.055163561,1,T5
590,B10,synT5,sfp,0.033530001,0.025869999,-0.00452852,-0.11898833,0.002772898,0.058319618,1,T5
595,B10,synT5,sfp,0.035499998,0.02664,-0.003691306,-0.094186853,0.003307474,0.060055458,1,T5
600,B10,synT5,sfp,0.037389997,0.02889,-0.005111382,-0.12026392,0.00240073,0.065127708,1,T5
605,B10,synT5,sfp,0.039120007,0.030480003,-0.005720499,-0.127574357,0.002011798,0.068712107,1,T5
610,B10,synT5,sfp,0.040900002,0.031259999,-0.005087991,-0.110637379,0.002415666,0.070470479,1,T5
615,B10,synT5,sfp,0.04325,0.03328,-0.005709707,-0.116620527,0.002018689,0.075024235,1,T5
620,B10,synT5,sfp,0.045490005,0.034829996,-0.005749971,-0.112216507,0.00199298,0.078518445,1,T5
625,B10,synT5,sfp,0.04823,0.036280001,-0.005143143,-0.096362005,0.00238045,0.081787239,1,T5
630,B10,synT5,sfp,0.050239997,0.038179998,-0.005928317,-0.105545571,0.001879103,0.086070467,1,T5
635,B10,synT5,sfp,0.052760006,0.040159999,-0.006321177,-0.106991369,0.001628255,0.09053405,1,T5
640,B10,synT5,sfp,0.055569997,0.042510002,-0.006968381,-0.111425667,0.001215004,0.095831742,1,T5
645,B10,synT5,sfp,0.058590005,0.044109996,-0.006302195,-0.097117915,0.001640375,0.099438662,1,T5
650,B10,synT5,sfp,0.061829996,0.046280005,-0.006254603,-0.091865161,0.001670763,0.104330587,1,T5
655,B10,synT5,sfp,0.065190006,0.048520001,-0.006189952,-0.086718347,0.001712044,0.109380287,1,T5
660,B10,synT5,sfp,0.068590003,0.051599997,-0.007321076,-0.096442786,0.000989801,0.116323627,1,T5
665,B10,synT5,sfp,0.071959992,0.053820001,-0.007217034,-0.091150602,0.001056234,0.121328256,1,T5
670,B10,synT5,sfp,0.075540006,0.056329995,-0.007329585,-0.088447222,0.000984368,0.126986621,1,T5
675,B10,synT5,sfp,0.079880003,0.058589995,-0.006314376,-0.073257404,0.001632597,0.132081416,1,T5
680,B10,synT5,sfp,0.083470004,0.061399998,-0.006858297,-0.075926338,0.001285294,0.138416101,1,T5
685,B10,synT5,sfp,0.087739994,0.065189999,-0.008163948,-0.085126307,0.000451612,0.146960029,1,T5
690,B10,synT5,sfp,0.091979995,0.067959999,-0.007999019,-0.080006982,0.000556923,0.153204534,1,T5
695,B10,synT5,sfp,0.096289999,0.070569994,-0.007528697,-0.072517736,0.000857232,0.159088336,1,T5
700,B10,synT5,sfp,0.101279997,0.074630002,-0.008511559,-0.077524713,0.000229657,0.168240949,1,T5
705,B10,synT5,sfp,0.105879999,0.077210007,-0.007707118,-0.067852046,0.000743306,0.174057142,1,T5
710,B10,synT5,sfp,0.110640001,0.080710006,-0.008096124,-0.068185852,0.00049492,0.18194731,1,T5
715,B10,synT5,sfp,0.115719998,0.083790002,-0.007547247,-0.0612267,0.000845387,0.188890649,1,T5
720,B10,synT5,sfp,0.120429993,0.087280001,-0.007971546,-0.062082947,0.000574465,0.196758271,1,T5
725,B10,synT5,sfp,0.125099994,0.090720006,-0.008362292,-0.062656591,0.000324967,0.204513192,1,T5
730,B10,synT5,sfp,0.13041,0.094049992,-0.007951178,-0.05746683,0.00058747,0.212020093,1,T5
735,B10,synT5,sfp,0.135150004,0.097569998,-0.008389612,-0.058448061,0.000307522,0.219955361,1,T5
740,B10,synT5,sfp,0.139959995,0.100909992,-0.008493238,-0.057211541,0.000241355,0.227484824,1,T5
745,B10,synT5,sfp,0.144589993,0.104089999,-0.008541491,-0.055778803,0.000210545,0.234653622,1,T5
750,B10,synT5,sfp,0.148550005,0.106740005,-0.008480021,-0.054002546,0.000249794,0.240627619,1,T5
