time,EGF_level,HRG_level,HGF_level,IGF1_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,tEGFR_au,tErbB2_au,tErbB3_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
240,0,5,1,0,1,0,0,0,0,0,0,BxPc3,4.470804731,2.462194284,0,38.15418488,3.615702949,0.478123795,0.314886179,0.455619288,1.129447178,0.587150203,1.029197407,,,,,
0,0,0,1,0,1,0,0,0,0,0,0,BxPc3,NaN,1.428642306,NaN,29.0184174,3.202587459,0.568113682,0.229835015,0.181126592,0.676043057,0.462968467,0.522312374,,,,,
2,0,0,1,0,1,0,0,0,0,0,0,BxPc3,1.254238784,4.068778562,0,23.38933126,2.568155366,0.509461989,0.240006555,0.307278121,0.67316704,0.45609631,0.561707608,,,,,
4,0,0,1,0,1,0,0,0,0,0,0,BxPc3,1.925711843,2.496974983,0,27.66690544,3.071483821,0.616801822,0.361495134,0.341302214,0.710676328,0.543414003,0.640815383,,,,,
6,0,0,1,0,1,0,0,0,0,0,0,BxPc3,2.038663093,3.735653047,0.137261155,28.2567403,2.802298858,0.552808647,0.356012513,0.257943006,0.702077074,0.558574368,0.641082815,,,,,
8,0,0,1,0,1,0,0,0,0,0,0,BxPc3,2.296625973,2.343922046,0.107133714,27.37805192,2.594201171,0.539448391,0.334984611,0.19428654,0.782110352,0.531844293,0.628525946,,,,,
10,0,0,1,0,1,0,0,0,0,0,0,BxPc3,2.582098481,4.476772193,0.092155813,32.85361276,2.963516816,0.656549505,0.33203795,0.203441095,0.823219044,0.516844124,0.626005441,,,,,
15,0,0,1,0,1,0,0,0,0,0,0,BxPc3,NaN,1.615382572,NaN,23.87898365,2.870734192,1.407518189,0.36304686,0.230940547,0.874905137,0.575401279,0.671362246,,,,,
30,0,0,1,0,1,0,0,0,0,0,0,BxPc3,0.377067622,3.044581001,0,22.08563111,2.586602343,0.561106813,0.355834292,0.244262882,0.968379276,0.578747939,0.653216545,,,,,
60,0,0,1,0,1,0,0,0,0,0,0,BxPc3,1.127792179,1.945092192,0,24.96029047,2.757209548,0.539976157,0.246429326,0.229630896,0.957218835,0.487183799,0.694813745,,,,,
90,0,0,1,0,1,0,0,0,0,0,0,BxPc3,1.830313337,3.113712062,0.124750834,28.71624846,2.732078595,0.571358318,0.248008428,0.203504192,0.965680294,0.467208728,0.625640325,,,,,
120,0,0,1,0,1,0,0,0,0,0,0,BxPc3,1.77658064,1.995172322,0.113966114,29.63625551,2.895954566,0.54439933,0.281952086,0.191156376,0.976821415,0.48866117,0.648156229,,,,,
240,0,0,1,0,1,0,0,0,0,0,0,BxPc3,2.545173375,3.900949525,0,32.76310855,3.055261255,0.805575339,0.233172469,0.129124232,0.836283366,0.486230882,0.570773394,,,,,
0,0,5,0,50,1,0,0,0,0,0,0,BxPc3,1.902839341,2.279711005,NaN,30.81582994,2.981772057,0.646882064,0.229771223,0.184764776,0.675545697,0.468890873,0.518443805,,,,,
2,0,5,0,50,1,0,0,0,0,0,0,BxPc3,3.761073031,6.499668582,0.98254095,28.1903863,2.459143812,0.447759035,0.300309733,0.853079209,0.686101375,0.49638585,0.614348232,,,,,
4,0,5,0,50,1,0,0,0,0,0,0,BxPc3,4.19127138,5.361429372,0.915153202,31.13857075,2.869195791,0.451076658,0.59762096,0.982205908,0.729308925,0.710220816,0.724424525,,,,,
6,0,5,0,50,1,0,0,0,0,0,0,BxPc3,6.497761462,5.096905228,0.742196586,25.94903674,2.384248722,0.397864977,0.653924751,0.9457406,0.75752756,0.75729836,0.765101403,,,,,
8,0,5,0,50,1,0,0,0,0,0,0,BxPc3,7.303410472,2.942684513,0.368184256,28.10380962,2.25574558,0.402411025,0.643970817,0.798124637,0.91030122,0.75269141,0.854873411,,,,,
10,0,5,0,50,1,0,0,0,0,0,0,BxPc3,3.360774837,4.864300223,0.705960157,29.79683428,2.838066448,0.453688028,0.651023247,0.879315167,0.983498117,0.712838069,0.897292546,,,,,
15,0,5,0,50,1,0,0,0,0,0,0,BxPc3,2.586943999,3.310412472,0.291245339,28.96335049,2.808210988,0.462159398,0.683175914,0.825483752,1.03487707,0.822473024,0.910863207,,,,,
30,0,5,0,50,1,0,0,0,0,0,0,BxPc3,2.791310214,4.139624942,2.143905201,25.82913386,2.188752522,0.395676164,0.539911761,0.841641609,1.171009046,0.69714494,1.01678857,,,,,
60,0,5,0,50,1,0,0,0,0,0,0,BxPc3,3.08310846,2.620855833,0.167988213,25.07792188,2.556880976,0.360127072,0.353107885,0.805164386,1.115270667,0.581026475,1.103921176,,,,,
90,0,5,0,50,1,0,0,0,0,0,0,BxPc3,3.700726112,3.294374918,0.066061394,25.94964346,2.045629998,0.407786883,0.390281076,0.736477846,1.120267026,0.589064027,1.073068383,,,,,
120,0,5,0,50,1,0,0,0,0,0,0,BxPc3,3.197153351,1.949891097,0.196190353,31.29583657,2.783795743,0.434100117,0.404639863,0.652558002,1.123921581,0.598687631,1.092442605,,,,,
240,0,5,0,50,1,0,0,0,0,0,0,BxPc3,4.292477514,3.475074318,0.200455828,37.24827216,2.858196616,0.444590712,0.316082159,0.385222688,1.147549955,0.575822621,0.989000261,,,,,
0,0,0,0,50,1,0,0,0,0,0,0,BxPc3,1.902839341,2.279711005,NaN,30.81582994,2.981772057,0.646882064,0.229771223,0.184764776,0.675545697,0.468890873,0.518443805,,,,,
2,0,0,0,50,1,0,0,0,0,0,0,BxPc3,3.761073031,6.499668582,0.98254095,28.1903863,2.459143812,0.447759035,0.300309733,0.853079209,0.686101375,0.49638585,0.614348232,,,,,
4,0,0,0,50,1,0,0,0,0,0,0,BxPc3,4.19127138,5.361429372,0.915153202,31.13857075,2.869195791,0.451076658,0.59762096,0.982205908,0.729308925,0.710220816,0.724424525,,,,,
6,0,0,0,50,1,0,0,0,0,0,0,BxPc3,6.497761462,5.096905228,0.742196586,25.94903674,2.384248722,0.397864977,0.653924751,0.9457406,0.75752756,0.75729836,0.765101403,,,,,
8,0,0,0,50,1,0,0,0,0,0,0,BxPc3,7.303410472,2.942684513,0.368184256,28.10380962,2.25574558,0.402411025,0.643970817,0.798124637,0.91030122,0.75269141,0.854873411,,,,,
10,0,0,0,50,1,0,0,0,0,0,0,BxPc3,3.360774837,4.864300223,0.705960157,29.79683428,2.838066448,0.453688028,0.651023247,0.879315167,0.983498117,0.712838069,0.897292546,,,,,
15,0,0,0,50,1,0,0,0,0,0,0,BxPc3,2.586943999,3.310412472,0.291245339,28.96335049,2.808210988,0.462159398,0.683175914,0.825483752,1.03487707,0.822473024,0.910863207,,,,,
30,0,0,0,50,1,0,0,0,0,0,0,BxPc3,2.791310214,4.139624942,2.143905201,25.82913386,2.188752522,0.395676164,0.539911761,0.841641609,1.171009046,0.69714494,1.01678857,,,,,
60,0,0,0,50,1,0,0,0,0,0,0,BxPc3,3.08310846,2.620855833,0.167988213,25.07792188,2.556880976,0.360127072,0.353107885,0.805164386,1.115270667,0.581026475,1.103921176,,,,,
90,0,0,0,50,1,0,0,0,0,0,0,BxPc3,3.700726112,3.294374918,0.066061394,25.94964346,2.045629998,0.407786883,0.390281076,0.736477846,1.120267026,0.589064027,1.073068383,,,,,
120,0,0,0,50,1,0,0,0,0,0,0,BxPc3,3.197153351,1.949891097,0.196190353,31.29583657,2.783795743,0.434100117,0.404639863,0.652558002,1.123921581,0.598687631,1.092442605,,,,,
240,0,0,0,50,1,0,0,0,0,0,0,BxPc3,4.292477514,3.475074318,0.200455828,37.24827216,2.858196616,0.444590712,0.316082159,0.385222688,1.147549955,0.575822621,0.989000261,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,BxPc3,NaN,1.428642306,NaN,29.0184174,3.202587459,0.568113682,0.229835015,0.181126592,0.676043057,0.462968467,0.522312374,49.14207944,5.849160083,2.08265158,4.070282154,8.657357672
2,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.254238784,4.068778562,0,23.38933126,2.568155366,0.509461989,0.240006555,0.307278121,0.67316704,0.45609631,0.561707608,,,,,
4,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.925711843,2.496974983,0,27.66690544,3.071483821,0.616801822,0.361495134,0.341302214,0.710676328,0.543414003,0.640815383,,,,,
6,0,0,0,0,1,0,0,0,0,0,0,BxPc3,2.038663093,3.735653047,0.137261155,28.2567403,2.802298858,0.552808647,0.356012513,0.257943006,0.702077074,0.558574368,0.641082815,,,,,
8,0,0,0,0,1,0,0,0,0,0,0,BxPc3,2.296625973,2.343922046,0.107133714,27.37805192,2.594201171,0.539448391,0.334984611,0.19428654,0.782110352,0.531844293,0.628525946,,,,,
10,0,0,0,0,1,0,0,0,0,0,0,BxPc3,2.582098481,4.476772193,0.092155813,32.85361276,2.963516816,0.656549505,0.33203795,0.203441095,0.823219044,0.516844124,0.626005441,,,,,
15,0,0,0,0,1,0,0,0,0,0,0,BxPc3,NaN,1.615382572,NaN,23.87898365,2.870734192,1.407518189,0.36304686,0.230940547,0.874905137,0.575401279,0.671362246,,,,,
30,0,0,0,0,1,0,0,0,0,0,0,BxPc3,0.377067622,3.044581001,0,22.08563111,2.586602343,0.561106813,0.355834292,0.244262882,0.968379276,0.578747939,0.653216545,,,,,
60,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.127792179,1.945092192,0,24.96029047,2.757209548,0.539976157,0.246429326,0.229630896,0.957218835,0.487183799,0.694813745,,,,,
90,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.830313337,3.113712062,0.124750834,28.71624846,2.732078595,0.571358318,0.248008428,0.203504192,0.965680294,0.467208728,0.625640325,,,,,
120,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.77658064,1.995172322,0.113966114,29.63625551,2.895954566,0.54439933,0.281952086,0.191156376,0.976821415,0.48866117,0.648156229,,,,,
240,0,0,0,0,1,0,0,0,0,0,0,BxPc3,2.545173375,3.900949525,0,32.76310855,3.055261255,0.805575339,0.233172469,0.129124232,0.836283366,0.486230882,0.570773394,,,,,
