time,EGF_level,HRG_level,HGF_level,IGF1_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,tEGFR_au,tErbB2_au,tErbB3_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
4,5,5,1,0,0,0,0,0,0,0,0,H322M,7.472989552,1.420553479,0.345194629,15.67100989,8.168844401,0.873840468,0.512878687,0.707068289,0.433184651,0.265783875,0.543341913,,,,,
6,5,5,1,0,0,0,0,0,0,0,0,H322M,6.798022869,2.266119351,0.397394562,15.63684472,7.598021527,0.857801219,0.442677744,0.67670307,0.569364485,0.244714752,0.646212341,,,,,
8,5,5,1,0,0,0,0,0,0,0,0,H322M,5.291337306,0.853455735,0.246721,18.64607143,8.676926831,0.962969849,0.241096917,0.647518552,0.556179243,0.202673766,0.657093594,,,,,
10,5,5,1,0,0,0,0,0,0,0,0,H322M,6.225077819,1.399620057,0.465100694,17.84207185,8.644467508,0.881716315,0.211653027,0.64279488,0.797553656,0.204491352,0.744773835,,,,,
15,5,5,1,0,0,0,0,0,0,0,0,H322M,5.22521815,1.043607011,0.148889581,13.17529358,6.834399478,0.715990889,0.174117943,0.490680159,0.884765298,0.190140332,0.765709035,,,,,
30,5,5,1,0,0,0,0,0,0,0,0,H322M,4.103435978,0.358642875,0.271876243,16.33068447,7.576394992,0.850628076,0.121510107,0.49747512,1.135121456,0.175282672,0.843941572,,,,,
60,5,5,1,0,0,0,0,0,0,0,0,H322M,5.727774238,1.342474616,0.276382213,14.40284383,7.031584245,0.861259169,0.136820072,0.461975147,1.06226568,0.17589176,0.788719215,,,,,
90,5,5,1,0,0,0,0,0,0,0,0,H322M,4.744989529,1.504711189,0.337586897,15.88121719,7.362217568,0.954356263,0.198778304,0.455709284,1.188237166,0.189349233,0.878479249,,,,,
120,5,5,1,0,0,0,0,0,0,0,0,H322M,5.013254677,1.313404748,0.257426873,16.64711923,8.171276667,0.935890854,0.141179631,0.39541095,0.975373113,0.168932221,0.733182704,,,,,
240,5,5,1,0,0,0,0,0,0,0,0,H322M,5.38070252,2.018637492,0.503324934,18.62986155,9.631107222,1.08235219,0.118622491,0.36132677,0.924046038,0.169840503,0.678879645,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,H322M,4.766861136,1.074193048,0.390965423,15.51282092,7.817879823,0.697268431,0.093198442,0.175656294,0.311163653,0.153922493,0.377586097,,,,,
2,0,0,1,0,0,0,0,0,0,0,0,H322M,5.602183585,1.921262402,0.457523242,13.06459678,6.989412419,0.675354341,0.138409743,0.174093979,0.418935833,0.176545417,0.436090443,,,,,
4,0,0,1,0,0,0,0,0,0,0,0,H322M,5.686838829,1.847809909,0.406784712,14.535853,8.277803728,0.838790193,0.199370404,0.221391427,0.312396648,0.183808339,0.439715949,,,,,
6,0,0,1,0,0,0,0,0,0,0,0,H322M,4.750368464,1.868010625,0.468311544,13.34820842,7.728509385,0.766031233,0.228017711,0.232139688,0.376132859,0.191557377,0.472104271,,,,,
8,0,0,1,0,0,0,0,0,0,0,0,H322M,3.093911265,1.879149823,0.477786391,13.87363584,8.100961865,0.977847844,0.140130962,0.214644672,0.309324644,0.169680405,0.462814633,,,,,
10,0,0,1,0,0,0,0,0,0,0,0,H322M,5.748474417,1.904145511,0.632846174,17.25101626,8.395133091,0.952964674,0.128381445,0.214563863,0.429245758,0.166585189,0.466074108,,,,,
15,0,0,1,0,0,0,0,0,0,0,0,H322M,3.192922493,1.057919993,0.29183062,13.24619591,7.377797742,0.663718718,0.124614056,0.178865563,0.546283912,0.17067549,0.515616488,,,,,
30,0,0,1,0,0,0,0,0,0,0,0,H322M,4.06666901,1.904026668,0.412010488,12.03641851,7.037542255,0.731359804,0.087355693,0.223912989,0.637090924,0.160202386,0.515156616,,,,,
60,0,0,1,0,0,0,0,0,0,0,0,H322M,5.294967243,0.512191403,0.320797585,13.23668803,6.871463656,0.713959336,0.081788378,0.220274285,0.537171826,0.146756,0.515852122,,,,,
90,0,0,1,0,0,0,0,0,0,0,0,H322M,4.21797754,1.724861788,0.411571811,12.73311187,7.381633124,0.881417776,0.100596577,0.215560354,0.636860472,0.155991476,0.502781833,,,,,
120,0,0,1,0,0,0,0,0,0,0,0,H322M,6.063323307,2.091773568,0.474145895,13.4946837,7.372096651,0.900801288,0.085691732,0.194861742,0.384626992,0.150666827,0.436664143,,,,,
240,0,0,1,0,0,0,0,0,0,0,0,H322M,4.380818313,1.492376688,0.41858653,16.29447845,9.759388358,1.097610858,0.080679539,0.194254126,0.42590981,0.150777771,0.41830139,,,,,
0,0,5,0,50,0,0,0,0,0,0,0,H322M,4.766861136,1.074193048,0.390965423,15.51282092,7.817879823,0.697268431,0.093198442,0.175656294,0.311163653,0.153922493,0.377586097,,,,,
2,0,5,0,50,0,0,0,0,0,0,0,H322M,5.602183585,1.921262402,0.457523242,13.06459678,6.989412419,0.675354341,0.138409743,0.174093979,0.418935833,0.176545417,0.436090443,,,,,
4,0,5,0,50,0,0,0,0,0,0,0,H322M,5.686838829,1.847809909,0.406784712,14.535853,8.277803728,0.838790193,0.199370404,0.221391427,0.312396648,0.183808339,0.439715949,,,,,
6,0,5,0,50,0,0,0,0,0,0,0,H322M,4.750368464,1.868010625,0.468311544,13.34820842,7.728509385,0.766031233,0.228017711,0.232139688,0.376132859,0.191557377,0.472104271,,,,,
8,0,5,0,50,0,0,0,0,0,0,0,H322M,3.093911265,1.879149823,0.477786391,13.87363584,8.100961865,0.977847844,0.140130962,0.214644672,0.309324644,0.169680405,0.462814633,,,,,
10,0,5,0,50,0,0,0,0,0,0,0,H322M,5.748474417,1.904145511,0.632846174,17.25101626,8.395133091,0.952964674,0.128381445,0.214563863,0.429245758,0.166585189,0.466074108,,,,,
15,0,5,0,50,0,0,0,0,0,0,0,H322M,3.192922493,1.057919993,0.29183062,13.24619591,7.377797742,0.663718718,0.124614056,0.178865563,0.546283912,0.17067549,0.515616488,,,,,
30,0,5,0,50,0,0,0,0,0,0,0,H322M,4.06666901,1.904026668,0.412010488,12.03641851,7.037542255,0.731359804,0.087355693,0.223912989,0.637090924,0.160202386,0.515156616,,,,,
60,0,5,0,50,0,0,0,0,0,0,0,H322M,5.294967243,0.512191403,0.320797585,13.23668803,6.871463656,0.713959336,0.081788378,0.220274285,0.537171826,0.146756,0.515852122,,,,,
90,0,5,0,50,0,0,0,0,0,0,0,H322M,4.21797754,1.724861788,0.411571811,12.73311187,7.381633124,0.881417776,0.100596577,0.215560354,0.636860472,0.155991476,0.502781833,,,,,
120,0,5,0,50,0,0,0,0,0,0,0,H322M,6.063323307,2.091773568,0.474145895,13.4946837,7.372096651,0.900801288,0.085691732,0.194861742,0.384626992,0.150666827,0.436664143,,,,,
240,0,5,0,50,0,0,0,0,0,0,0,H322M,4.380818313,1.492376688,0.41858653,16.29447845,9.759388358,1.097610858,0.080679539,0.194254126,0.42590981,0.150777771,0.41830139,,,,,
0,0,0,0,50,0,0,0,0,0,0,0,H322M,4.766861136,1.074193048,0.390965423,15.51282092,7.817879823,0.697268431,0.093198442,0.175656294,0.311163653,0.153922493,0.377586097,,,,,
2,0,0,0,50,0,0,0,0,0,0,0,H322M,5.602183585,1.921262402,0.457523242,13.06459678,6.989412419,0.675354341,0.138409743,0.174093979,0.418935833,0.176545417,0.436090443,,,,,
4,0,0,0,50,0,0,0,0,0,0,0,H322M,5.686838829,1.847809909,0.406784712,14.535853,8.277803728,0.838790193,0.199370404,0.221391427,0.312396648,0.183808339,0.439715949,,,,,
6,0,0,0,50,0,0,0,0,0,0,0,H322M,4.750368464,1.868010625,0.468311544,13.34820842,7.728509385,0.766031233,0.228017711,0.232139688,0.376132859,0.191557377,0.472104271,,,,,
8,0,0,0,50,0,0,0,0,0,0,0,H322M,3.093911265,1.879149823,0.477786391,13.87363584,8.100961865,0.977847844,0.140130962,0.214644672,0.309324644,0.169680405,0.462814633,,,,,
10,0,0,0,50,0,0,0,0,0,0,0,H322M,5.748474417,1.904145511,0.632846174,17.25101626,8.395133091,0.952964674,0.128381445,0.214563863,0.429245758,0.166585189,0.466074108,,,,,
15,0,0,0,50,0,0,0,0,0,0,0,H322M,3.192922493,1.057919993,0.29183062,13.24619591,7.377797742,0.663718718,0.124614056,0.178865563,0.546283912,0.17067549,0.515616488,,,,,
30,0,0,0,50,0,0,0,0,0,0,0,H322M,4.06666901,1.904026668,0.412010488,12.03641851,7.037542255,0.731359804,0.087355693,0.223912989,0.637090924,0.160202386,0.515156616,,,,,
60,0,0,0,50,0,0,0,0,0,0,0,H322M,5.294967243,0.512191403,0.320797585,13.23668803,6.871463656,0.713959336,0.081788378,0.220274285,0.537171826,0.146756,0.515852122,,,,,
90,0,0,0,50,0,0,0,0,0,0,0,H322M,4.21797754,1.724861788,0.411571811,12.73311187,7.381633124,0.881417776,0.100596577,0.215560354,0.636860472,0.155991476,0.502781833,,,,,
120,0,0,0,50,0,0,0,0,0,0,0,H322M,6.063323307,2.091773568,0.474145895,13.4946837,7.372096651,0.900801288,0.085691732,0.194861742,0.384626992,0.150666827,0.436664143,,,,,
240,0,0,0,50,0,0,0,0,0,0,0,H322M,4.380818313,1.492376688,0.41858653,16.29447845,9.759388358,1.097610858,0.080679539,0.194254126,0.42590981,0.150777771,0.41830139,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,H322M,4.766861136,1.074193048,0.390965423,15.51282092,7.817879823,0.697268431,0.093198442,0.175656294,0.311163653,0.153922493,0.377586097,30.50469758,6.952570373,1.798430345,5.297380076,4.19027878
2,0,0,0,0,0,0,0,0,0,0,0,H322M,5.602183585,1.921262402,0.457523242,13.06459678,6.989412419,0.675354341,0.138409743,0.174093979,0.418935833,0.176545417,0.436090443,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,H322M,5.686838829,1.847809909,0.406784712,14.535853,8.277803728,0.838790193,0.199370404,0.221391427,0.312396648,0.183808339,0.439715949,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,H322M,4.750368464,1.868010625,0.468311544,13.34820842,7.728509385,0.766031233,0.228017711,0.232139688,0.376132859,0.191557377,0.472104271,,,,,
8,0,0,0,0,0,0,0,0,0,0,0,H322M,3.093911265,1.879149823,0.477786391,13.87363584,8.100961865,0.977847844,0.140130962,0.214644672,0.309324644,0.169680405,0.462814633,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,H322M,5.748474417,1.904145511,0.632846174,17.25101626,8.395133091,0.952964674,0.128381445,0.214563863,0.429245758,0.166585189,0.466074108,,,,,
15,0,0,0,0,0,0,0,0,0,0,0,H322M,3.192922493,1.057919993,0.29183062,13.24619591,7.377797742,0.663718718,0.124614056,0.178865563,0.546283912,0.17067549,0.515616488,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,H322M,4.06666901,1.904026668,0.412010488,12.03641851,7.037542255,0.731359804,0.087355693,0.223912989,0.637090924,0.160202386,0.515156616,,,,,
60,0,0,0,0,0,0,0,0,0,0,0,H322M,5.294967243,0.512191403,0.320797585,13.23668803,6.871463656,0.713959336,0.081788378,0.220274285,0.537171826,0.146756,0.515852122,,,,,
90,0,0,0,0,0,0,0,0,0,0,0,H322M,4.21797754,1.724861788,0.411571811,12.73311187,7.381633124,0.881417776,0.100596577,0.215560354,0.636860472,0.155991476,0.502781833,,,,,
120,0,0,0,0,0,0,0,0,0,0,0,H322M,6.063323307,2.091773568,0.474145895,13.4946837,7.372096651,0.900801288,0.085691732,0.194861742,0.384626992,0.150666827,0.436664143,,,,,
240,0,0,0,0,0,0,0,0,0,0,0,H322M,4.380818313,1.492376688,0.41858653,16.29447845,9.759388358,1.097610858,0.080679539,0.194254126,0.42590981,0.150777771,0.41830139,,,,,
