t, obs_S1, obs_pS1, obs_S2, obs_pS2, obs_pS2_pS2, obs_ppS2
31.2542, 0.0490196, 4.95098, 0.92434, 0.911737, 0.857336, 88.985
31.806, 0.0490196, 4.95098, 0.923663, 0.911737, 0.855936, 89.0545
31.9398, 0.0490196, 4.95098, 0.923505, 0.911737, 0.855609, 89.0708
32.3579, 0.0490196, 4.95098, 0.923023, 0.911737, 0.854612, 89.1203
32.7759, 0.0490196, 4.95098, 0.922561, 0.911737, 0.853656, 89.1678
32.9097, 0.0490196, 4.95098, 0.922417, 0.911737, 0.853359, 89.1826
33.4615, 0.0490196, 4.95098, 0.921844, 0.911737, 0.852173, 89.2415
33.612, 0.0490196, 4.95098, 0.921693, 0.911737, 0.85186, 89.257
34.0134, 0.0490196, 4.95098, 0.921301, 0.911737, 0.85105, 89.2972
34.4482, 0.0490196, 4.95098, 0.920894, 0.911737, 0.850209, 89.339
34.5652, 0.0490196, 4.95098, 0.920788, 0.911737, 0.849988, 89.35
35.1171, 0.0490196, 4.95098, 0.920302, 0.911737, 0.848983, 89.3999
35.2843, 0.0490196, 4.95098, 0.92016, 0.911737, 0.84869, 89.4145
35.6689, 0.0490196, 4.95098, 0.919843, 0.911737, 0.848032, 89.4471
36.1204, 0.0490196, 4.95098, 0.919485, 0.911737, 0.847293, 89.4838
36.2207, 0.0490196, 4.95098, 0.919408, 0.911737, 0.847133, 89.4918
36.7726, 0.0490196, 4.95098, 0.918996, 0.911737, 0.846282, 89.5341
36.9565, 0.0490196, 4.95098, 0.918864, 0.911737, 0.846008, 89.5476
37.3244, 0.0490196, 4.95098, 0.918607, 0.911737, 0.845476, 89.5741
37.7926, 0.0490196, 4.95098, 0.918293, 0.911737, 0.844826, 89.6064
37.8763, 0.0490196, 4.95098, 0.918238, 0.911737, 0.844713, 89.612
38.4281, 0.0490196, 4.95098, 0.917889, 0.911737, 0.843992, 89.6478
38.6288, 0.0490196, 4.95098, 0.917767, 0.911737, 0.84374, 89.6603
38.9799, 0.0490196, 4.95098, 0.91756, 0.911737, 0.84331, 89.6817
39.4649, 0.0490196, 4.95098, 0.917284, 0.911737, 0.84274, 89.71
39.5318, 0.0490196, 4.95098, 0.917247, 0.911737, 0.842664, 89.7138
40.0836, 0.0490196, 4.95098, 0.916952, 0.911737, 0.842052, 89.7441
40.301, 0.0490196, 4.95098, 0.91684, 0.911737, 0.84182, 89.7556
40.6355, 0.0490196, 4.95098, 0.916672, 0.911737, 0.841473, 89.7729
41.1371, 0.0490196, 4.95098, 0.916431, 0.911737, 0.840975, 89.7976
41.1873, 0.0490196, 4.95098, 0.916407, 0.911737, 0.840926, 89.8001
41.7391, 0.0490196, 4.95098, 0.916157, 0.911737, 0.840408, 89.8258
41.9732, 0.0490196, 4.95098, 0.916055, 0.911737, 0.840197, 89.8363
42.291, 0.0490196, 4.95098, 0.91592, 0.911737, 0.839918, 89.8501
42.8094, 0.0490196, 4.95098, 0.915709, 0.911737, 0.839481, 89.8718
42.8428, 0.0490196, 4.95098, 0.915696, 0.911737, 0.839453, 89.8732
43.3946, 0.0490196, 4.95098, 0.915483, 0.911737, 0.839014, 89.895
43.6455, 0.0490196, 4.95098, 0.91539, 0.911737, 0.838822, 89.9046
43.9465, 0.0490196, 4.95098, 0.915282, 0.911737, 0.838598, 89.9157
44.4816, 0.0490196, 4.95098, 0.915098, 0.911737, 0.838216, 89.9346
44.4983, 0.0490196, 4.95098, 0.915092, 0.911737, 0.838205, 89.9352
45.0502, 0.0490196, 4.95098, 0.914912, 0.911737, 0.837832, 89.9537
45.3177, 0.0490196, 4.95098, 0.914828, 0.911737, 0.837659, 89.9623
45.602, 0.0490196, 4.95098, 0.914742, 0.911737, 0.83748, 89.9712
46.1538, 0.0490196, 4.95098, 0.91458, 0.911737, 0.837146, 89.9878
46.7057, 0.0490196, 4.95098, 0.914428, 0.911737, 0.836831, 90.0035
46.99, 0.0490196, 4.95098, 0.914352, 0.911737, 0.836675, 90.0112
47.2575, 0.0490196, 4.95098, 0.914283, 0.911737, 0.836532, 90.0183
47.8094, 0.0490196, 4.95098, 0.914147, 0.911737, 0.836249, 90.0323
47.8261, 0.0490196, 4.95098, 0.914143, 0.911737, 0.836241, 90.0328
48.3612, 0.0490196, 4.95098, 0.914017, 0.911737, 0.835982, 90.0456
48.6622, 0.0490196, 4.95098, 0.91395, 0.911737, 0.835842, 90.0526
48.913, 0.0490196, 4.95098, 0.913895, 0.911737, 0.835729, 90.0582
49.4649, 0.0490196, 4.95098, 0.913779, 0.911737, 0.835489, 90.0701
49.4983, 0.0490196, 4.95098, 0.913772, 0.911737, 0.835475, 90.0708
50.0167, 0.0490196, 4.95098, 0.91367, 0.911737, 0.835262, 90.0814
50.3344, 0.0490196, 4.95098, 0.913609, 0.911737, 0.835138, 90.0876
50.5686, 0.0490196, 4.95098, 0.913566, 0.911737, 0.835048, 90.092
51.1204, 0.0490196, 4.95098, 0.913468, 0.911737, 0.834845, 90.1021
51.1706, 0.0490196, 4.95098, 0.913459, 0.911737, 0.834827, 90.103
51.6722, 0.0490196, 4.95098, 0.913375, 0.911737, 0.834653, 90.1116
52.0067, 0.0490196, 4.95098, 0.913321, 0.911737, 0.834542, 90.1172
52.2241, 0.0490196, 4.95098, 0.913287, 0.911737, 0.834471, 90.1207
52.7759, 0.0490196, 4.95098, 0.913204, 0.911737, 0.834299, 90.1292
52.8428, 0.0490196, 4.95098, 0.913194, 0.911737, 0.834279, 90.1302
53.3278, 0.0490196, 4.95098, 0.913125, 0.911737, 0.834136, 90.1373
53.6789, 0.0490196, 4.95098, 0.913078, 0.911737, 0.834038, 90.1422
53.8796, 0.0490196, 4.95098, 0.913051, 0.911737, 0.833982, 90.1449
54.4314, 0.0490196, 4.95098, 0.91298, 0.911737, 0.833837, 90.1522
54.5151, 0.0490196, 4.95098, 0.91297, 0.911737, 0.833815, 90.1532
54.9833, 0.0490196, 4.95098, 0.912914, 0.911737, 0.833699, 90.159
55.3512, 0.0490196, 4.95098, 0.912871, 0.911737, 0.833611, 90.1634
55.5351, 0.0490196, 4.95098, 0.912851, 0.911737, 0.833568, 90.1655
56.087, 0.0490196, 4.95098, 0.912791, 0.911737, 0.833445, 90.1716
56.1873, 0.0490196, 4.95098, 0.91278, 0.911737, 0.833423, 90.1727
56.6388, 0.0490196, 4.95098, 0.912734, 0.911737, 0.833328, 90.1775
57.0234, 0.0490196, 4.95098, 0.912697, 0.911737, 0.83325, 90.1813
57.1906, 0.0490196, 4.95098, 0.912681, 0.911737, 0.833217, 90.1829
57.7425, 0.0490196, 4.95098, 0.91263, 0.911737, 0.833112, 90.1882
57.8595, 0.0490196, 4.95098, 0.91262, 0.911737, 0.833091, 90.1892
58.2943, 0.0490196, 4.95098, 0.912582, 0.911737, 0.833013, 90.1931
58.6957, 0.0490196, 4.95098, 0.912549, 0.911737, 0.832944, 90.1965
58.8462, 0.0490196, 4.95098, 0.912537, 0.911737, 0.832919, 90.1977
59.398, 0.0490196, 4.95098, 0.912494, 0.911737, 0.832831, 90.2021
59.5318, 0.0490196, 4.95098, 0.912484, 0.911737, 0.83281, 90.2032
59.9498, 0.0490196, 4.95098, 0.912454, 0.911737, 0.832747, 90.2063
60.3679, 0.0490196, 4.95098, 0.912424, 0.911737, 0.832686, 90.2093
60.5017, 0.0490196, 4.95098, 0.912415, 0.911737, 0.832667, 90.2103
61.0535, 0.0490196, 4.95098, 0.912379, 0.911737, 0.832592, 90.214
61.204, 0.0490196, 4.95098, 0.912369, 0.911737, 0.832572, 90.215
61.6054, 0.0490196, 4.95098, 0.912344, 0.911737, 0.832521, 90.2175
62.0401, 0.0490196, 4.95098, 0.912319, 0.911737, 0.832467, 90.2202
62.1572, 0.0490196, 4.95098, 0.912312, 0.911737, 0.832453, 90.2209
