#t S I1 I2 R1 R2 V Iv2 J2 J1 R mu beta gamma sigma sigmaV strain1_frac strain2_frac S_frac V_frac R_1_frac R_2_frac R_frac r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 env N l_e R0 p tau theta nu eta tInf tImm tImm_V 
##CONCENTRATIONS
61 0.0374908466 0.0014118584 0.0019509134 0.0471505296 0.0852222638 0.0634796825 0.0004956699 0.0006137103 0.0008026633 1.0270860407 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022145217 0.0030602936 0.0374908466 0.0634796825 1.0742365703 1.1123083045 1.0270860407 0.000000 0.0200000000 0.0007498169 0.0012695936 0.0000282372 0.0000390183 0.00000991340 0.0009430106 0.0017044453 0.0000160533 0.0000122742 0.0205417208 0.0245599302 0.0339398782 0.0172401497 0.0245394430 0.0339087333 0.0279141849 0.0213423192 0.0279021066 0.0213337384 0.0172304291 0.0023575265 0.0042611132 0.0513543020 0.0012695936 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
62 0.0374838347 0.0014041960 0.0019431433 0.0470477268 0.0852511502 0.0636989935 0.0004954956 0.0006100483 0.0007987292 1.0217076632 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0022029252 0.0030486872 0.0374838347 0.0636989935 1.0687553900 1.1069588133 1.0217076632 0.000000 0.0200000000 0.0007496767 0.0012739799 0.0000280839 0.0000388629 0.00000990991 0.0009409545 0.0017050230 0.0000159746 0.0000122010 0.0204341533 0.0244267507 0.0338048353 0.0172341010 0.0244062632 0.0337736813 0.0277774221 0.0212150206 0.0277653490 0.0212064422 0.0172243700 0.0023523863 0.0042625575 0.0510853832 0.0012739799 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
63 0.0374769035 0.0013966805 0.0019355227 0.0469462278 0.0852797333 0.0639155884 0.0004953243 0.0006064576 0.0007948700 1.0164320506 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021915505 0.0030373047 0.0374769035 0.0639155884 1.0633782784 1.1017117839 1.0164320506 0.000000 0.0200000000 0.0007495381 0.0012783118 0.0000279336 0.0000387105 0.00000990649 0.0009389246 0.0017055947 0.0000158974 0.0000121292 0.0203286410 0.0242961311 0.0336723942 0.0172281380 0.0242756380 0.0336412278 0.0276432601 0.0210902148 0.0276311937 0.0210816228 0.0172184170 0.0023473114 0.0042639867 0.0508216025 0.0012783118 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
64 0.0374700418 0.0013893111 0.0019280499 0.0468460199 0.0853080265 0.0641294710 0.0004951563 0.0006029372 0.0007910854 1.0112576926 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021803965 0.0030261434 0.0374700418 0.0641294710 1.0581037124 1.0965657191 1.0112576926 0.000000 0.0200000000 0.0007494008 0.0012825894 0.0000277862 0.0000385610 0.00000990313 0.0009369204 0.0017061605 0.0000158217 0.0000120587 0.0202251539 0.0241680488 0.0335425148 0.0172222684 0.0241475502 0.0335113427 0.0275116927 0.0209678617 0.0274996344 0.0209592450 0.0172125777 0.0023423010 0.0042654013 0.0505628846 0.0012825894 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
65 0.0374632666 0.0013820892 0.0019207274 0.0467471222 0.0853360096 0.0643406356 0.0004949913 0.0005994885 0.0007873757 1.0061868733 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021694649 0.0030152072 0.0374632666 0.0643406356 1.0529339955 1.0915228829 1.0061868733 0.000000 0.0200000000 0.0007492653 0.0012868127 0.0000276418 0.0000384145 0.00000989983 0.0009349424 0.0017067202 0.0000157475 0.0000119898 0.0201237375 0.0240425325 0.0334152524 0.0172165332 0.0240220259 0.0333840714 0.0273827401 0.0208479803 0.0273706807 0.0208393623 0.0172068408 0.0023373561 0.0042668005 0.0503093437 0.0012868127 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
66 0.0374565682 0.0013750095 0.0019135487 0.0466495248 0.0853636807 0.0645491023 0.0004948291 0.0005961085 0.0007837386 1.0012155455 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021587480 0.0030044864 0.0374565682 0.0645491023 1.0478650703 1.0865792262 1.0012155455 0.000000 0.0200000000 0.0007491314 0.0012909820 0.0000275002 0.0000382710 0.00000989658 0.0009329905 0.0017072736 0.0000156748 0.0000119222 0.0200243109 0.0239194880 0.0332904880 0.0172109023 0.0238989743 0.0332592993 0.0272563083 0.0207304823 0.0272442450 0.0207218682 0.0172012020 0.0023324762 0.0042681840 0.0500607773 0.0012909820 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
67 0.0374499327 0.0013680646 0.0019065044 0.0465532131 0.0853910371 0.0647548997 0.0004946695 0.0005927929 0.0007801702 0.9963378990 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021482347 0.0029939668 0.0374499327 0.0647548997 1.0428911121 1.0817289360 0.9963378990 0.000000 0.0200000000 0.0007489987 0.0012950980 0.0000273613 0.0000381301 0.00000989339 0.0009310643 0.0017078207 0.0000156034 0.0000118559 0.0199267580 0.0237987813 0.0331680515 0.0172053221 0.0237782649 0.0331368616 0.0271322599 0.0206152490 0.0271202019 0.0206066100 0.0171956552 0.0023276607 0.0042695519 0.0498168949 0.0012950980 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
68 0.0374433704 0.0013612600 0.0018996014 0.0464581980 0.0854180807 0.0649580066 0.0004945127 0.0005895448 0.0007766733 0.9915582534 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021379333 0.0029836589 0.0374433704 0.0649580066 1.0380164513 1.0769763341 0.9915582534 0.000000 0.0200000000 0.0007488674 0.0012991601 0.0000272252 0.0000379920 0.00000989025 0.0009291640 0.0017083616 0.0000155335 0.0000117909 0.0198311651 0.0236805085 0.0330480660 0.0171998659 0.0236599945 0.0330168806 0.0270107040 0.0205023423 0.0269986446 0.0204937013 0.0171902050 0.0023229099 0.0042709040 0.0495779127 0.0012991601 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
69 0.0374368823 0.0013545929 0.0018928370 0.0463644737 0.0854448096 0.0651584354 0.0004943587 0.0005863630 0.0007732466 0.9868747464 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021278395 0.0029735587 0.0374368823 0.0651584354 1.0332392201 1.0723195560 0.9868747464 0.000000 0.0200000000 0.0007487376 0.0013031687 0.0000270919 0.0000378567 0.00000988717 0.0009272895 0.0017088962 0.0000154649 0.0000117273 0.0197374949 0.0235646227 0.0329304854 0.0171945320 0.0235441155 0.0328993094 0.0268915916 0.0203917171 0.0268795247 0.0203830962 0.0171848500 0.0023182237 0.0042722405 0.0493437373 0.0013031687 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
70 0.0374304733 0.0013480495 0.0018861974 0.0462720117 0.0854712133 0.0653562496 0.0004942072 0.0005832408 0.0007698829 0.9822778985 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021179324 0.0029636454 0.0374304733 0.0653562496 1.0285499102 1.0677491118 0.9822778985 0.000000 0.0200000000 0.0007486095 0.0013071250 0.0000269610 0.0000377239 0.00000988414 0.0009254402 0.0017094243 0.0000153977 0.0000116648 0.0196455580 0.0234508910 0.0328150826 0.0171892354 0.0234303839 0.0327839079 0.0267746562 0.0202832044 0.0267625956 0.0202745609 0.0171795832 0.0023136006 0.0042735607 0.0491138949 0.0013071250 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
71 0.0374241406 0.0013416379 0.0018796909 0.0461808289 0.0854972981 0.0655514118 0.0004940583 0.0005801821 0.0007665864 0.9777733035 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0021082242 0.0029539313 0.0374241406 0.0655514118 1.0239541324 1.0632706016 0.9777733035 0.000000 0.0200000000 0.0007484828 0.0013110282 0.0000268328 0.0000375938 0.00000988117 0.0009236166 0.0017099460 0.0000153317 0.0000116036 0.0195554661 0.0233394480 0.0327019886 0.0171840541 0.0233189437 0.0326708178 0.0266600609 0.0201768820 0.0266480029 0.0201682333 0.0171744087 0.0023090414 0.0042748649 0.0488886652 0.0013110282 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
72 0.0374178841 0.0013353581 0.0018733173 0.0460909252 0.0855230638 0.0657439219 0.0004939121 0.0005771868 0.0007633571 0.9733609616 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020987152 0.0029444163 0.0374178841 0.0657439219 1.0194518868 1.0588840254 0.9733609616 0.000000 0.0200000000 0.0007483577 0.0013148784 0.0000267072 0.0000374663 0.00000987824 0.0009218185 0.0017104613 0.0000152671 0.0000115437 0.0194672192 0.0232302918 0.0325912018 0.0171790052 0.0232097949 0.0325600390 0.0265478096 0.0200727363 0.0265357466 0.0200641134 0.0171693266 0.0023045463 0.0042761532 0.0486680481 0.0013148784 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
73 0.0374117071 0.0013291935 0.0018670608 0.0460022473 0.0855485190 0.0659338650 0.0004937685 0.0005742471 0.0007601867 0.9690294595 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020893802 0.0029350764 0.0374117071 0.0659338650 1.0150317067 1.0545779785 0.9690294595 0.000000 0.0200000000 0.0007482341 0.0013186773 0.0000265839 0.0000373412 0.00000987537 0.0009200449 0.0017109704 0.0000152037 0.0000114849 0.0193805892 0.0231231472 0.0324824575 0.0171739875 0.0231026494 0.0324512943 0.0264375933 0.0199705675 0.0264255373 0.0199619243 0.0171643340 0.0023001124 0.0042774260 0.0484514730 0.0013186773 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
74 0.0374056080 0.0013231524 0.0018609291 0.0459148214 0.0855736594 0.0661211991 0.0004936275 0.0005713669 0.0007570793 0.9647844255 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020802317 0.0029259236 0.0374056080 0.0661211991 1.0106992468 1.0503580849 0.9647844255 0.000000 0.0200000000 0.0007481122 0.0013224240 0.0000264630 0.0000372186 0.00000987255 0.0009182964 0.0017114732 0.0000151416 0.0000114273 0.0192956885 0.0230181474 0.0323758838 0.0171690747 0.0229976492 0.0323447205 0.0263295694 0.0198704553 0.0263175177 0.0198618025 0.0171594324 0.0022957411 0.0042786830 0.0482392213 0.0013224240 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
75 0.0373995867 0.0013172350 0.0018549227 0.0458286485 0.0855984850 0.0663059227 0.0004934891 0.0005685463 0.0007540350 0.9606260671 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020712701 0.0029169581 0.0373995867 0.0663059227 1.0064547156 1.0462245520 0.9606260671 0.000000 0.0200000000 0.0007479917 0.0013261185 0.0000263447 0.0000370985 0.00000986978 0.0009165730 0.0017119697 0.0000150807 0.0000113709 0.0192125213 0.0229152958 0.0322714838 0.0171642847 0.0228947996 0.0322403225 0.0262237471 0.0197723908 0.0262116930 0.0197637531 0.0171546217 0.0022914324 0.0042799242 0.0480313034 0.0013261185 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
76 0.0373936389 0.0013114251 0.0018490247 0.0457436500 0.0856230085 0.0664881826 0.0004933528 0.0005657774 0.0007510456 0.9565428709 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020624706 0.0029081549 0.0373936389 0.0664881826 1.0022865209 1.0421658794 0.9565428709 0.000000 0.0200000000 0.0007478728 0.0013297637 0.0000262285 0.0000369805 0.00000986706 0.0009148730 0.0017124602 0.0000150209 0.0000113155 0.0191308574 0.0228143151 0.0321689741 0.0171595225 0.0227938164 0.0321378104 0.0261198209 0.0196761580 0.0261077739 0.0196675002 0.0171498842 0.0022871825 0.0042811504 0.0478271435 0.0013297637 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
77 0.0373877647 0.0013057233 0.0018432362 0.0456598299 0.0856472293 0.0666679709 0.0004932187 0.0005630606 0.0007481114 0.9525354500 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020538347 0.0028995154 0.0373877647 0.0666679709 0.9981952800 1.0381826794 0.9525354500 0.000000 0.0200000000 0.0007477553 0.0013333594 0.0000261145 0.0000368647 0.00000986437 0.0009131966 0.0017129446 0.0000149622 0.0000112612 0.0190507090 0.0227152186 0.0320683683 0.0171548077 0.0226947146 0.0320371998 0.0260178102 0.0195817570 0.0260057757 0.0195730585 0.0171452208 0.0022829915 0.0042823615 0.0476267725 0.0013333594 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
78 0.0373819650 0.0013001329 0.0018375602 0.0455772034 0.0856711451 0.0668452597 0.0004930868 0.0005603974 0.0007452340 0.9486059963 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020453669 0.0028910443 0.0373819650 0.0668452597 0.9941831998 1.0342771414 0.9486059963 0.000000 0.0200000000 0.0007476393 0.0013369052 0.0000260027 0.0000367512 0.00000986174 0.0009115441 0.0017134229 0.0000149047 0.0000112079 0.0189721199 0.0226180571 0.0319697187 0.0171501751 0.0225975485 0.0319385458 0.0259177768 0.0194892159 0.0259057534 0.0194804805 0.0171406349 0.0022788602 0.0042835573 0.0474302998 0.0013369052 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
79 0.0373762397 0.0012946533 0.0018319961 0.0454957675 0.0856947561 0.0670200546 0.0004929570 0.0005577875 0.0007424132 0.9447540759 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020370665 0.0028827407 0.0373762397 0.0670200546 0.9902498434 1.0304488320 0.9447540759 0.000000 0.0200000000 0.0007475248 0.0013404011 0.0000258931 0.0000366399 0.00000985914 0.0009099153 0.0017138951 0.0000148483 0.0000111557 0.0188950815 0.0225228191 0.0318730131 0.0171456339 0.0225023073 0.0318418374 0.0258197120 0.0193985163 0.0258076963 0.0193897559 0.0171361258 0.0022747884 0.0042847378 0.0472377038 0.0013404011 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
80 0.0373705886 0.0012892838 0.0018265434 0.0454155191 0.0857180630 0.0671923610 0.0004928295 0.0005552306 0.0007396486 0.9409792549 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020289324 0.0028746035 0.0373705886 0.0671923610 0.9863947739 1.0266973179 0.9409792549 0.000000 0.0200000000 0.0007474118 0.0013438472 0.0000257857 0.0000365309 0.00000985659 0.0009083104 0.0017143613 0.0000147930 0.0000111046 0.0188195851 0.0224294926 0.0317782396 0.0171411933 0.0224089802 0.0317470638 0.0257236069 0.0193096403 0.0257115934 0.0193008742 0.0171316930 0.0022707760 0.0042859032 0.0470489627 0.0013438472 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
81 0.0373650115 0.0012840238 0.0018212014 0.0453364553 0.0857410662 0.0673621846 0.0004927042 0.0005527265 0.0007369399 0.9372810993 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020209637 0.0028666320 0.0373650115 0.0673621846 0.9826175546 1.0230221655 0.9372810993 0.000000 0.0200000000 0.0007473002 0.0013472437 0.0000256805 0.0000364240 0.00000985408 0.0009067291 0.0017148213 0.0000147388 0.0000110545 0.0187456220 0.0223380659 0.0316853861 0.0171368621 0.0223175566 0.0316542140 0.0256294527 0.0192225699 0.0256174338 0.0192138250 0.0171273356 0.0022668228 0.0042870533 0.0468640550 0.0013472437 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
82 0.0373595082 0.0012788727 0.0018159694 0.0452585731 0.0857637662 0.0675295307 0.0004925810 0.0005502747 0.0007342868 0.9336591753 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020131595 0.0028588251 0.0373595082 0.0675295307 0.9789177484 1.0194229415 0.9336591753 0.000000 0.0200000000 0.0007471902 0.0013505906 0.0000255775 0.0000363194 0.00000985162 0.0009051715 0.0017152753 0.0000146857 0.0000110055 0.0186731835 0.0222485274 0.0315944408 0.0171326487 0.0222280258 0.0315632771 0.0255372406 0.0191372877 0.0255252066 0.0191285980 0.0171230530 0.0022629287 0.0042881883 0.0466829588 0.0013505906 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
83 0.0373540786 0.0012738279 0.0018108449 0.0451818643 0.0857861635 0.0676944151 0.0004924600 0.0005478741 0.0007316880 0.9301117060 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020055159 0.0028511790 0.0373540786 0.0676944151 0.9752935703 1.0158978695 0.9301117060 0.000000 0.0200000000 0.0007470816 0.0013538883 0.0000254766 0.0000362169 0.00000984920 0.0009036373 0.0017157233 0.0000146338 0.0000109575 0.0186022341 0.0221608331 0.0315053603 0.0171285467 0.0221403428 0.0314742087 0.0254469247 0.0190537549 0.0254348678 0.0190451472 0.0171188479 0.0022590932 0.0042893082 0.0465055853 0.0013538883 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
84 0.0373487224 0.0012688703 0.0018058090 0.0451062754 0.0858082576 0.0678569382 0.0004923422 0.0005455146 0.0007291342 0.9266255234 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019980044 0.0028436658 0.0373487224 0.0678569382 0.9717317989 1.0124337811 0.9266255234 0.000000 0.0200000000 0.0007469744 0.0013571388 0.0000253774 0.0000361162 0.00000984684 0.0009021255 0.0017161652 0.0000145827 0.0000109103 0.0185325105 0.0220746660 0.0314178342 0.0171244254 0.0220541736 0.0313866808 0.0253581448 0.0189717531 0.0253460932 0.0189631264 0.0171147512 0.0022553138 0.0042904129 0.0463312762 0.0013571388 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
85 0.0373434395 0.0012640115 0.0018008734 0.0450318374 0.0858300497 0.0680170418 0.0004922268 0.0005432024 0.0007266311 0.9232087351 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019906427 0.0028363026 0.0373434395 0.0680170418 0.9682405724 1.0090387848 0.9232087351 0.000000 0.0200000000 0.0007468688 0.0013603408 0.0000252802 0.0000360175 0.00000984454 0.0009006367 0.0017166010 0.0000145326 0.0000108640 0.0184641747 0.0219902194 0.0313320509 0.0171203840 0.0219697243 0.0313008952 0.0252711273 0.0188914015 0.0252590820 0.0188827504 0.0171107411 0.0022515919 0.0042915025 0.0461604368 0.0013603408 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
86 0.0373382297 0.0012592502 0.0017960365 0.0449585446 0.0858515401 0.0681747363 0.0004921140 0.0005409368 0.0007241780 0.9198602753 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019834283 0.0028290872 0.0373382297 0.0681747363 0.9648188199 1.0057118154 0.9198602753 0.000000 0.0200000000 0.0007467646 0.0013634947 0.0000251850 0.0000359207 0.00000984228 0.0008991709 0.0017170308 0.0000144836 0.0000108187 0.0183972055 0.0219074666 0.0312479840 0.0171164226 0.0218869681 0.0312168252 0.0251858453 0.0188126739 0.0251738078 0.0188039923 0.0171068184 0.0022479272 0.0042925770 0.0459930138 0.0013634947 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
87 0.0373330929 0.0012545848 0.0017912968 0.0448863917 0.0858727293 0.0683300318 0.0004920036 0.0005387169 0.0007217741 0.9165790786 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019763589 0.0028220173 0.0373330929 0.0683300318 0.9614654703 1.0024518079 0.9165790786 0.000000 0.0200000000 0.0007466619 0.0013666006 0.0000250917 0.0000358259 0.00000984007 0.0008977278 0.0017174546 0.0000144355 0.0000107743 0.0183315816 0.0218263811 0.0311656067 0.0171125406 0.0218058785 0.0311344442 0.0251022721 0.0187355443 0.0250902442 0.0187268249 0.0171029840 0.0022443196 0.0042936365 0.0458289539 0.0013666006 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
88 0.0373280288 0.0012500137 0.0017866527 0.0448153733 0.0858936179 0.0684829385 0.0004918959 0.0005365420 0.0007194187 0.9133640792 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019694324 0.0028150906 0.0373280288 0.0684829385 0.9581794525 0.9992576971 0.9133640792 0.000000 0.0200000000 0.0007465606 0.0013696588 0.0000250003 0.0000357331 0.00000983792 0.0008963075 0.0017178724 0.0000143884 0.0000107308 0.0182672816 0.0217469360 0.0310848927 0.0171087373 0.0217264285 0.0310537256 0.0250203811 0.0186599871 0.0250083647 0.0186512212 0.0170992388 0.0022407687 0.0042946809 0.0456682040 0.0013696588 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
89 0.0373230374 0.0012455354 0.0017821027 0.0447454837 0.0859142061 0.0686334668 0.0004917908 0.0005344113 0.0007171110 0.9102142116 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019626464 0.0028083048 0.0373230374 0.0686334668 0.9549596953 0.9961284177 0.9102142116 0.000000 0.0200000000 0.0007464607 0.0013726693 0.0000249107 0.0000356421 0.00000983582 0.0008949097 0.0017182841 0.0000143422 0.0000106882 0.0182042842 0.0216691049 0.0310058154 0.0171050114 0.0216485914 0.0309746425 0.0249401452 0.0185859767 0.0249281428 0.0185771541 0.0170955838 0.0022372742 0.0042957103 0.0455107106 0.0013726693 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
90 0.0373181184 0.0012411484 0.0017776453 0.0446767176 0.0859344944 0.0687816268 0.0004916882 0.0005323240 0.0007148501 0.9071284102 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019559985 0.0028016576 0.0373181184 0.0687816268 0.9518051278 0.9930629046 0.9071284102 0.000000 0.0200000000 0.0007463624 0.0013756325 0.0000248230 0.0000355529 0.00000983376 0.0008935344 0.0017186899 0.0000142970 0.0000106465 0.0181425682 0.0215928612 0.0309283485 0.0171013616 0.0215723405 0.0308971685 0.0248615377 0.0185134882 0.0248495522 0.0185045965 0.0170920198 0.0022338359 0.0042967247 0.0453564205 0.0013756325 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
91 0.0373132693 0.0012368486 0.0017732762 0.0446090161 0.0859544958 0.0689275367 0.0004915872 0.0005302788 0.0007126339 0.9041037679 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019494825 0.0027951422 0.0373132693 0.0689275367 0.9487127840 0.9900582638 0.9041037679 0.000000 0.0200000000 0.0007462654 0.0013785507 0.0000247370 0.0000354655 0.00000983174 0.0008921803 0.0017190899 0.0000142527 0.0000106056 0.0180820754 0.0215181329 0.0308524138 0.0170977853 0.0214976069 0.0308212286 0.0247844842 0.0184424449 0.0247725117 0.0184335003 0.0170885090 0.0022304508 0.0042977248 0.0452051884 0.0013785507 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
92 0.0373084876 0.0012326326 0.0017689914 0.0445423282 0.0859742213 0.0690712983 0.0004914869 0.0005282743 0.0007104602 0.9011376565 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019430927 0.0027887526 0.0373084876 0.0690712983 0.9456799848 0.9871118778 0.9011376565 0.000000 0.0200000000 0.0007461698 0.0013814260 0.0000246527 0.0000353798 0.00000982974 0.0008908466 0.0017194844 0.0000142092 0.0000105655 0.0180227531 0.0214448549 0.0307779411 0.0170942793 0.0214243280 0.0307467553 0.0247089177 0.0183727785 0.0246969486 0.0183638205 0.0170850196 0.0022271164 0.0042987111 0.0450568828 0.0013814260 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
