#t RCT0 alpha BN1 BN2 BN3 BN4 BTX BM RCT1 RC beta cell k0 k1 k2 k3 k4 q epsilon 
##CONCENTRATIONS
11 11.82557539415 31.73031687107 7.1700826490 4.5868872907 3.3002051319 1.8337593150 0.4004721523 0.7558805324 38.39682066355 50.22239605770 18.04728707123 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
12 5.2878004216 30.13696651591 9.8130489206 5.1516901977 3.5250152176 2.0626652069 0.4659448637 0.9958973956 42.56097126049 47.84877168206 22.01426180203 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
13 1.9399681479 26.47678413038 12.82690460379 6.0507693572 3.8240053525 2.2960047475 0.5313074641 1.2721202659 44.78213593080 46.72210407868 26.80111179094 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
14 0.5725225813 21.70381368167 15.78140679200 7.2574341642 4.2336930297 2.5467453651 0.5979569426 1.5848167228 45.72161072067 46.29413330192 32.00205301641 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
15 0.1326435230 16.64860788113 18.28657699958 8.6884210458 4.7770250788 2.8303323025 0.6684438746 1.9353600669 46.03258922764 46.16523275069 37.18615936818 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
16 0.0235189119 11.88873749683 20.05936788763 10.22346912622 5.4585159762 3.1619669503 0.7461063240 2.3267760629 46.11154126388 46.13506017578 41.97620232739 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
17 0.0030873293 7.7936652091 20.93360365306 11.72743793883 6.2632130681 3.5538419486 0.8345207668 2.7640337503 46.12659633595 46.12968366522 46.07665112572 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
18 0.0002884466 4.5836110140 20.85576644502 13.06907521239 7.1588043735 4.0128771511 0.9368825963 3.2540066185 46.12868814275 46.12897658931 49.28741239672 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
19 0.0000184573 2.3415506047 19.89262747767 14.13719746511 8.0999242134 4.5392639001 1.0554286548 3.8050970875 46.12889213941 46.12891059674 51.52953879858 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
20 0.000000769598 0.9965637732 18.24074605422 14.85612445466 9.0341188074 5.1259734783 1.1909925534 4.4265744999 46.12890560931 46.12890637891 52.87452984787 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
21 0.0000000166677 0.3359760979 16.19834725532 15.19797410659 9.9090192055 5.7593004933 1.3427576399 5.1277189983 46.12890618647 46.12890620314 53.53511769900 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
22 -0.000000 0.0847691696 14.07671300831 15.18450268436 10.67957580769 6.4203932468 1.5082468322 5.9168930517 46.12890619985 46.12890619935 53.78632463106 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
23 0.000000 0.0150656757 12.09714459651 14.87378478694 11.31337899959 7.0874931796 1.6835515303 6.8006750318 46.12890619926 46.12890619950 53.85602812481 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
24 0.000000 0.0017755107 10.35356171706 14.33798326920 11.79247254731 7.7383736557 1.8637520132 7.7831750874 46.12890619868 46.12890619954 53.86931828980 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
