#t EGF R Ra R2 RP PLCg RPLCg RPLCgP PLCgP Grb RG SOS RGS GS Shc RSh RShP ShP RShG ShG RShGS ShGS PLCgl v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 v25 compartment 
##CONCENTRATIONS
22 580.347860707685 0.3478607077 10.22827654015 11.71798854387 1.4176927735 39.95574071241 3.2686659192 9.6262271191 4.1860117179 22.31994611668 1.2578744480 2.1652400839 0.5848646169 2.5304726743 31.35739681443 0.7137779386 11.20684113777 48.41514196515 2.3621133377 27.22530618142 2.5558855414 26.16353708353 47.96335453138 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
23 580.356188806236 0.3561888062 10.47901761802 12.31421552148 1.4924830263 37.27646916511 3.2219846997 9.5522454995 4.2483369540 21.31828464896 1.2967898038 2.0910623962 0.5760489913 2.4349534211 28.10407956938 0.6762462980 10.83895214503 51.00679885274 2.2102944461 28.26569349732 2.4031363566 26.49479883486 50.70096368166 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
24 580.365025029715 0.3650250297 10.74356394143 12.94189709378 1.5717857523 34.65250429353 3.1670029857 9.4592850751 4.3049254332 20.43648041310 1.3341220829 2.0323095409 0.5681439684 2.3477360385 25.06350603265 0.6378452682 10.44209226942 53.54303893267 2.0668170769 29.19488996805 2.2567139418 26.79509651035 53.41628221251 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
25 580.374315057914 0.3743150579 11.02052687984 13.60681029113 1.6544790990 32.09342624974 3.1024027619 9.3451680278 4.3550464374 19.65998151890 1.3701659740 1.9850068414 0.5612303034 2.2688464811 22.24242421429 0.5990807141 10.01419441449 56.00452493449 1.9322077617 30.02265158685 2.1168396837 27.06807669033 56.10395652327 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
26 580.384012672939 0.3840126729 11.30844298631 14.30177575077 1.7419462355 29.60708608399 3.0283413308 9.2084644531 4.3980175007 18.97666189837 1.4053645573 1.9464122449 0.5553195733 2.1979829356 19.63818465958 0.5593141347 9.5638227689 58.37400740137 1.8057720297 30.75861375949 1.9836513363 27.31663390998 58.75809063142 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
27 580.394065312982 0.3940653130 11.60593504870 15.03012939658 1.8326815719 27.20316512469 2.9440357722 9.0473373397 4.4331640917 18.37553371774 1.4400089902 1.9146099848 0.5504391933 2.1346830968 17.25327413895 0.5198196108 9.0910253872 60.63654586097 1.6873758586 31.41169141820 1.8571466985 27.54312102667 61.37229767159 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
28 580.404428169586 0.4044281696 11.91158818182 15.78691293966 1.9267767215 24.89003747238 2.8497992401 8.8605913320 4.4598463659 17.84712626120 1.4744270881 1.8882202914 0.5465914286 2.0784212274 15.08406405720 0.4804625163 8.6026344082 62.77940502352 1.5765614702 31.99010547190 1.7372346796 27.74953237301 63.93972558963 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
29 580.415045491357 0.4150454914 12.22368541134 16.56916987801 2.0237585380 22.67624900269 2.7456422929 8.6474143513 4.4775425828 17.38309483060 1.5088857757 1.8662112909 0.5437734095 2.0286311759 13.12652064318 0.4417255906 8.1035138858 64.79262507210 1.4729563084 32.50127437616 1.6237945185 27.93758960532 66.45315177027 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
30 580.425857637227 0.4258576372 12.54041046995 17.37251425560 2.1229209229 20.56954155193 2.6320982885 8.4074247837 4.4858317038 16.97612553177 1.5436164642 1.8477987971 0.5419748096 1.9847593515 11.37426894915 0.4039907807 7.5994693099 66.66874711742 1.3761871735 32.95186962754 1.5166691577 28.10879788408 68.90510367202 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
31 580.436799038843 0.4367990388 12.85975630762 18.19197448751 2.2236689572 18.57694664557 2.5097972416 8.1408370156 4.4844345348 16.61976219042 1.5788053752 1.8323724299 0.5411789972 1.9462693560 9.8192659135 0.3676087061 7.0962260407 68.40291525845 1.2859350150 33.34786984932 1.4156904907 28.26448872621 71.28798456238 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
