#t PX PY PZ X Y Z t_ave beta k_tl a_tr a0_tr kd_prot kd_mRNA alpha alpha0 Reaction1 Reaction2 Reaction3 Reaction4 Reaction5 Reaction6 Reaction7 Reaction8 Reaction9 Reaction10 Reaction11 Reaction12 cell eff n KM tau_mRNA tau_prot ps_a ps_0 
##CONCENTRATIONS
29 769.962875205684 180.329338280688 159.497708782423 6.8448491120 0.3261504471 3.1576428242 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.3722439317 0.1130351314 1.0943556104 47.44487863330 2.2607026285 21.88711220802 53.36975960846 12.49947724015 11.05553871483 1.8034043202 0.1106671351 1.4354475059 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
30 762.282349193126 170.432007633911 171.156732785665 6.2644240563 0.3249058375 3.5160459453 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.1710839362 0.1126037826 1.2185686669 43.42167872434 2.2520756520 24.37137333731 52.83738611338 11.81344655686 11.86368067642 1.5821145384 0.1122963934 1.5946520601 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
31 751.181897604561 161.196188485377 184.555998366795 5.6729007406 0.3257561922 3.9104852854 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 1.9660775770 0.1128984931 1.3552709251 39.32155153951 2.2579698619 27.10541850183 52.06796144123 11.17326835656 12.79244699234 1.3746653833 0.1147396759 1.7683857629 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
32 736.870979094785 152.591841832265 199.826547814922 5.0870646564 0.3287874030 4.3428466404 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 1.7630422620 0.1139490307 1.5051159522 35.26084523929 2.2789806139 30.10231904399 51.07600415960 10.57686049425 13.85092082189 1.1846171541 0.1180533662 1.9570004556 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
33 719.651991454726 144.591645107908 217.102419272918 4.5209030600 0.3341064508 4.8146488926 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 1.5668256048 0.1157924722 1.6686301526 31.33651209602 2.3158494440 33.37260305293 49.88247488612 10.02232911391 15.04839298118 1.0139646016 0.1223043183 2.1605614153 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
34 699.882999383134 137.170990159700 236.515574847265 3.9859854089 0.3418703035 5.3268195589 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 1.3814372740 0.1184832185 1.8461349793 27.62874547930 2.3696643700 36.92269958570 48.51219277443 9.5079685084 16.39401038639 0.8633736368 0.1275752270 2.3787598246 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
35 677.986685071698 130.308225480614 258.196885183896 3.4890642246 0.3523051916 5.8796562164 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 1.2092175150 0.1220996751 2.0377335645 24.18435030087 2.4419935023 40.75467129074 46.99445592146 9.0322779096 17.89684429946 0.7324325262 0.1339573819 2.6108071610 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
36 654.382101812161 123.984571765607 282.265031868195 3.0350040589 0.3656299650 6.4723995061 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 1.0518522532 0.1267176897 2.2431627345 21.03704506399 2.5343537933 44.86325469093 45.35831088800 8.5939556352 19.56512110101 0.6200074631 0.1415640349 2.8553304437 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
37 629.480958149227 118.184123633077 308.821663391180 2.6261004790 0.3820952306 7.1030470611 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.9101370714 0.1324241159 2.4617285219 18.20274142856 2.6484823180 49.23457043759 43.63229513573 8.1918992083 21.40588652754 0.5244992742 0.1505289651 3.1102659258 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
38 603.664720365754 112.893825223639 337.942116681770 2.2630759341 0.4019799368 7.7680499139 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.7843223516 0.1393156299 2.6922009481 15.68644703124 2.7863125985 53.84401896250 41.84284989250 7.8252036656 23.42436253704 0.4440758351 0.1610124220 3.3727638391 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
39 577.294099983313 108.103577676211 369.667543475479 1.9445888116 0.4256405010 8.4621250211 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.6739431261 0.1475157566 2.9327490499 13.47886252124 2.9503151322 58.65498099888 40.01497777573 7.4931690075 25.62340155045 0.3768396419 0.1731965179 3.6391085266 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
40 550.696625847865 103.806532747302 403.994726172344 1.6678854736 0.4534986219 9.1780049509 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.5780450568 0.1571706456 3.1808541274 11.56090113514 3.1434129113 63.61708254853 38.17138135503 7.1953205497 28.00278054074 0.3209501493 0.1872883769 3.9046597848 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
